--------------------2019-07-23 0:02:12----------------
--------------------2019-07-23 0:07:12----------------
--------------------2019-07-23 0:12:12----------------
--------------------2019-07-23 0:17:12----------------
--------------------2019-07-23 0:22:12----------------
--------------------2019-07-23 0:27:12----------------
--------------------2019-07-23 0:32:12----------------
--------------------2019-07-23 0:37:12----------------
--------------------2019-07-23 0:42:12----------------
--------------------2019-07-23 0:47:12----------------
--------------------2019-07-23 0:52:12----------------
4004 : 1
4017 : 2
1018 : 2
81 : 2
3013 : 51
205 : 1
1006 : 32
1010 : 5
3011 : 5
1009 : 1
3017 : 6
1011 : 48
4633 : 2
1060 : 1
--------------------2019-07-23 0:57:12----------------
81 : 1
3013 : 35
205 : 1
3014 : 8
1006 : 7
1010 : 2
3010 : 5
3011 : 8
3030 : 2
1000 : 4
1001 : 16
3017 : 92
1011 : 5
1050 : 13
1100 : 2
1051 : 1
1105 : 4
1108 : 2
--------------------2019-07-23 1:02:12----------------
4017 : 1
1018 : 1
81 : 1
3013 : 79
205 : 3
3014 : 128
1010 : 2
3010 : 1
3011 : 8
1009 : 1
3030 : 2
1000 : 2
1001 : 3
3017 : 81
1011 : 6
1050 : 1
4633 : 1
1105 : 3
1108 : 4
545 : 1
--------------------2019-07-23 1:07:12----------------
3013 : 258
205 : 3
3014 : 4
1006 : 33
3010 : 5
3011 : 37
1000 : 1
1001 : 5
3017 : 16
1046 : 1
1048 : 1
--------------------2019-07-23 1:12:12----------------
81 : 1
3013 : 79
205 : 2
3014 : 28
1006 : 32
1010 : 6
3010 : 12
3011 : 45
3030 : 1
1000 : 3
1001 : 7
3017 : 43
1011 : 19
4633 : 1
4629 : 6
1108 : 1
545 : 1
--------------------2019-07-23 1:17:12----------------
3013 : 140
205 : 2
1006 : 18
1010 : 5
3010 : 4
3011 : 9
3030 : 3
1001 : 4
3017 : 42
1048 : 4
1011 : 12
4633 : 2
4629 : 5
1105 : 3
1108 : 3
545 : 2
--------------------2019-07-23 1:22:13----------------
4017 : 2
1018 : 2
81 : 2
3013 : 216
205 : 3
1006 : 12
1010 : 4
3010 : 9
3011 : 7
1009 : 1
3030 : 1
3017 : 20
1011 : 17
1050 : 2
4633 : 1
1102 : 2
4629 : 4
4031 : 1
--------------------2019-07-23 1:27:13----------------
3013 : 183
205 : 3
1006 : 5
3010 : 11
3011 : 10
3030 : 1
3017 : 77
1100 : 1
1104 : 1
4629 : 2
1105 : 2
1108 : 3
--------------------2019-07-23 1:32:13----------------
3013 : 64
205 : 2
1006 : 5
1010 : 13
3011 : 31
3030 : 5
1001 : 19
3017 : 52
1011 : 45
4633 : 1
4629 : 4
1105 : 1
1108 : 2
--------------------2019-07-23 1:37:13----------------
3013 : 260
205 : 3
1006 : 2
1010 : 8
3010 : 5
3011 : 39
3017 : 14
1011 : 21
4633 : 1
4629 : 6
1108 : 1
--------------------2019-07-23 1:42:13----------------
3013 : 213
205 : 2
3014 : 1
1006 : 6
1010 : 13
3010 : 1
3011 : 5
3017 : 35
1011 : 44
4633 : 1
--------------------2019-07-23 1:47:13----------------
3013 : 226
205 : 4
3014 : 70
1006 : 8
1010 : 3
3011 : 40
3030 : 1
3017 : 58
1011 : 11
1100 : 1
1102 : 1
1101 : 2
--------------------2019-07-23 1:52:13----------------
3013 : 231
205 : 4
3014 : 90
1006 : 4
1010 : 5
3011 : 41
3030 : 1
3017 : 46
1011 : 7
4629 : 2
4464 : 1
--------------------2019-07-23 1:57:13----------------
3013 : 194
205 : 4
1006 : 9
1010 : 1
3010 : 32
3011 : 50
1009 : 1
3030 : 1
3017 : 45
1011 : 1
4629 : 12
1108 : 1
--------------------2019-07-23 2:02:13----------------
4017 : 1
1018 : 1
81 : 1
3013 : 94
205 : 1
1006 : 4
1010 : 7
3010 : 9
3011 : 16
3030 : 4
3017 : 53
1011 : 7
1050 : 1
4633 : 1
4629 : 2
1108 : 2
--------------------2019-07-23 2:07:13----------------
3013 : 65
205 : 4
3014 : 151
1010 : 1
3010 : 1
3011 : 35
3017 : 77
1011 : 1
--------------------2019-07-23 2:12:13----------------
3013 : 36
205 : 4
3014 : 216
3011 : 38
3017 : 104
--------------------2019-07-23 2:17:13----------------
3013 : 40
205 : 4
3014 : 213
3011 : 38
3017 : 104
--------------------2019-07-23 2:22:13----------------
3013 : 35
205 : 3
3014 : 217
3011 : 34
3017 : 105
--------------------2019-07-23 2:27:13----------------
3013 : 48
205 : 4
3014 : 183
3011 : 29
3017 : 91
--------------------2019-07-23 2:32:14----------------
3013 : 62
205 : 2
3014 : 71
1006 : 2
3011 : 24
3017 : 41
4464 : 1
--------------------2019-07-23 2:37:14----------------
3013 : 24
205 : 2
3014 : 108
1006 : 3
3011 : 15
3017 : 56
--------------------2019-07-23 2:42:14----------------
3013 : 42
205 : 4
3014 : 213
3011 : 31
3017 : 108
--------------------2019-07-23 2:47:14----------------
3013 : 48
205 : 4
3014 : 208
1006 : 1
3011 : 32
1003 : 1
3017 : 101
1048 : 2
1100 : 1
1102 : 1
--------------------2019-07-23 2:52:14----------------
3013 : 87
205 : 4
3014 : 186
3011 : 35
3017 : 94
--------------------2019-07-23 2:57:14----------------
3013 : 37
205 : 4
3014 : 216
3011 : 19
3017 : 109
