--------------------2019-07-26 0:03:03----------------
--------------------2019-07-26 0:08:03----------------
--------------------2019-07-26 0:13:03----------------
--------------------2019-07-26 0:18:03----------------
--------------------2019-07-26 0:23:03----------------
--------------------2019-07-26 0:28:03----------------
--------------------2019-07-26 0:33:03----------------
--------------------2019-07-26 0:38:03----------------
--------------------2019-07-26 0:43:03----------------
4004 : 1
4017 : 1
1018 : 1
81 : 2
3013 : 57
205 : 1
1006 : 12
1010 : 6
3011 : 2
3017 : 27
1011 : 10
1050 : 1
4633 : 1
82 : 1
3202 : 1
1105 : 1
1108 : 2
1060 : 1
1025 : 2
--------------------2019-07-26 0:48:03----------------
81 : 3
3013 : 86
205 : 3
3014 : 66
1006 : 6
1010 : 2
3010 : 7
3011 : 23
1000 : 11
1001 : 42
3017 : 69
1011 : 3
4633 : 1
1102 : 1
1105 : 1
1108 : 1
1103 : 1
--------------------2019-07-26 0:53:04----------------
4004 : 1
4017 : 2
1018 : 2
81 : 5
3013 : 101
205 : 2
1006 : 30
1010 : 21
3010 : 1
3011 : 25
1009 : 1
3030 : 1
1000 : 15
3017 : 12
1011 : 112
1050 : 2
4633 : 2
82 : 4
3202 : 4
1060 : 1
4634 : 1
--------------------2019-07-26 0:58:04----------------
81 : 1
3013 : 177
205 : 4
3014 : 142
1006 : 8
1010 : 13
3011 : 61
1000 : 16
1001 : 3
3017 : 82
1046 : 6
1011 : 43
4633 : 4
1007 : 169
4629 : 1
1115 : 95
4520 : 1
1060 : 1
--------------------2019-07-26 1:03:04----------------
81 : 1
3013 : 127
205 : 5
3014 : 165
1010 : 7
3010 : 1
3011 : 65
1003 : 1
1001 : 1
3017 : 93
1011 : 19
4633 : 1
1100 : 1
1102 : 1
1115 : 3
1031 : 9
1032 : 11
--------------------2019-07-26 1:08:04----------------
4004 : 1
4012 : 1
3013 : 71
205 : 4
3014 : 186
3011 : 66
1009 : 1
1001 : 1
3017 : 100
4039 : 1
--------------------2019-07-26 1:13:04----------------
4004 : 1
4017 : 2
1018 : 1
81 : 1
3013 : 119
205 : 3
3014 : 107
1006 : 8
1010 : 16
3010 : 5
3011 : 39
3030 : 2
3017 : 38
1011 : 21
1110 : 1
1050 : 1
4633 : 3
1100 : 1
1104 : 2
--------------------2019-07-26 1:18:04----------------
4004 : 1
4017 : 1
1018 : 1
81 : 2
3013 : 179
205 : 2
3014 : 7
1006 : 1
1010 : 1
3010 : 6
3011 : 4
3030 : 11
3017 : 34
1046 : 1
1048 : 1
1011 : 5
4633 : 1
82 : 3
3202 : 3
1108 : 1
545 : 2
4634 : 2
--------------------2019-07-26 1:23:04----------------
4017 : 1
1018 : 1
81 : 1
3013 : 186
205 : 2
3014 : 4
1006 : 7
1010 : 5
3010 : 5
3011 : 82
1003 : 2
3030 : 20
1000 : 16
1001 : 29
3017 : 7
1046 : 4
1048 : 16
1011 : 8
1050 : 2
1031 : 4
1002 : 1
545 : 1
4031 : 1
--------------------2019-07-26 1:28:04----------------
81 : 2
3013 : 220
205 : 4
3014 : 98
1006 : 6
1010 : 15
3010 : 1
3011 : 36
1009 : 1
3030 : 7
1000 : 1
1001 : 1
3017 : 15
1046 : 2
1048 : 1
1011 : 35
1050 : 2
4633 : 2
82 : 1
3202 : 1
1051 : 1
1031 : 5
--------------------2019-07-26 1:33:04----------------
4017 : 1
1018 : 1
81 : 2
3013 : 118
205 : 2
1006 : 4
1010 : 17
3010 : 3
3011 : 20
3030 : 3
3017 : 39
1011 : 57
1050 : 3
4633 : 1
1051 : 1
1105 : 1
4031 : 1
--------------------2019-07-26 1:38:04----------------
4017 : 2
1018 : 2
81 : 3
3013 : 280
205 : 5
3014 : 137
1006 : 25
1010 : 12
3010 : 9
3011 : 56
4013 : 1
3030 : 3
1000 : 1
1001 : 30
3017 : 47
1046 : 2
1011 : 20
1050 : 2
4633 : 4
1100 : 1
1102 : 1
1051 : 1
4629 : 3
1031 : 1
1014 : 1
1015 : 1
4031 : 1
--------------------2019-07-26 1:43:04----------------
81 : 1
3013 : 262
205 : 5
3014 : 184
1006 : 15
1010 : 18
3010 : 8
3011 : 47
1003 : 1
3030 : 2
1001 : 13
3017 : 20
1048 : 1
1011 : 31
1050 : 1
4633 : 3
1100 : 1
1102 : 1
4629 : 1
1105 : 4
1014 : 2
1015 : 1
1108 : 1
--------------------2019-07-26 1:48:04----------------
3013 : 243
205 : 3
3014 : 33
1006 : 24
1010 : 6
3010 : 14
3011 : 23
1003 : 5
1000 : 1
1001 : 7
3017 : 31
1011 : 14
4633 : 1
1100 : 2
1102 : 1
1051 : 1
1105 : 2
1101 : 1
1108 : 2
--------------------2019-07-26 1:53:04----------------
81 : 1
3013 : 222
205 : 3
1006 : 17
1010 : 7
3010 : 13
3011 : 28
1001 : 3
3017 : 14
1048 : 1
1011 : 22
--------------------2019-07-26 1:58:04----------------
81 : 3
3013 : 319
205 : 3
1006 : 8
1010 : 11
3010 : 4
3011 : 22
3030 : 1
3017 : 8
1046 : 2
1048 : 1
1011 : 26
4633 : 1
1100 : 1
1104 : 2
4629 : 4
1115 : 4
4634 : 2
--------------------2019-07-26 2:03:04----------------
3013 : 185
205 : 3
1006 : 8
1010 : 6
3010 : 7
3011 : 24
3030 : 3
1001 : 2
3017 : 65
1011 : 21
1102 : 1
4629 : 9
1105 : 2
1108 : 5
--------------------2019-07-26 2:08:04----------------
81 : 1
3013 : 103
205 : 2
1006 : 3
3010 : 7
3011 : 17
3030 : 6
1001 : 9
3017 : 107
4629 : 1
4464 : 2
1105 : 3
1108 : 4
--------------------2019-07-26 2:13:04----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 271
205 : 5
1006 : 33
1010 : 27
3010 : 2
3011 : 41
3030 : 4
1001 : 8
3017 : 71
1046 : 2
1048 : 26
1011 : 54
1050 : 1
1100 : 1
4629 : 3
1108 : 1
--------------------2019-07-26 2:18:04----------------
3013 : 334
205 : 4
1006 : 10
1010 : 6
3010 : 11
3011 : 38
3030 : 4
1001 : 3
3017 : 32
1011 : 22
4633 : 1
4629 : 9
545 : 2
--------------------2019-07-26 2:23:04----------------
3013 : 120
205 : 2
1010 : 3
3010 : 12
3011 : 13
1001 : 3
3017 : 68
1011 : 7
4633 : 1
--------------------2019-07-26 2:28:04----------------
3013 : 77
205 : 1
1010 : 3
3010 : 6
3011 : 13
3030 : 1
3017 : 46
1011 : 4
4633 : 1
4629 : 1
1105 : 1
--------------------2019-07-26 2:33:04----------------
3013 : 138
205 : 2
1010 : 8
3010 : 9
3011 : 18
3030 : 2
3017 : 31
1011 : 5
4633 : 1
4629 : 3
--------------------2019-07-26 2:38:05----------------
3013 : 115
205 : 2
3010 : 24
3011 : 33
1001 : 12
3017 : 48
4629 : 1
--------------------2019-07-26 2:43:05----------------
3013 : 82
205 : 2
3010 : 22
3011 : 20
1001 : 6
3017 : 48
4629 : 1
4464 : 1
--------------------2019-07-26 2:48:05----------------
3013 : 130
205 : 2
3010 : 15
3011 : 17
1001 : 12
3017 : 44
4629 : 1
--------------------2019-07-26 2:53:05----------------
3013 : 105
205 : 2
1006 : 1
3010 : 8
3011 : 18
1003 : 3
1000 : 5
1001 : 4
3017 : 52
--------------------2019-07-26 2:58:05----------------
3013 : 82
205 : 1
3010 : 14
3011 : 8
1009 : 1
1001 : 3
3017 : 25
4633 : 1
--------------------2019-07-26 3:03:05----------------
--------------------2019-07-26 3:08:05----------------
205 : 1
--------------------2019-07-26 3:13:05----------------
--------------------2019-07-26 3:18:05----------------
--------------------2019-07-26 3:23:05----------------
--------------------2019-07-26 3:28:05----------------
--------------------2019-07-26 3:33:05----------------
--------------------2019-07-26 3:38:05----------------
--------------------2019-07-26 3:43:05----------------
--------------------2019-07-26 3:48:05----------------
--------------------2019-07-26 3:53:06----------------
--------------------2019-07-26 3:58:06----------------
--------------------2019-07-26 4:03:06----------------
--------------------2019-07-26 4:08:06----------------
--------------------2019-07-26 4:13:06----------------
--------------------2019-07-26 4:18:06----------------
--------------------2019-07-26 4:23:06----------------
--------------------2019-07-26 4:28:06----------------
--------------------2019-07-26 4:33:06----------------
--------------------2019-07-26 4:38:06----------------
--------------------2019-07-26 4:43:06----------------
