--------------------2019-08-14 0:03:20----------------
3018 : 56
3019 : 79
3024 : 92
3025 : 18
3013 : 600
3017 : 237
3011 : 66
1001 : 28
205 : 10
4629 : 6
1006 : 4
3010 : 8
1115 : 1
4464 : 1
--------------------2019-08-14 0:08:20----------------
3018 : 52
3019 : 69
3024 : 87
3025 : 19
3013 : 495
3017 : 250
3011 : 84
1001 : 27
205 : 11
4629 : 11
1006 : 7
3010 : 6
1115 : 7
--------------------2019-08-14 0:13:20----------------
1106 : 1
3018 : 49
3019 : 52
3024 : 90
3025 : 23
3013 : 322
3017 : 287
3011 : 66
1001 : 111
81 : 1
205 : 9
4629 : 1
1006 : 2
3010 : 12
1100 : 8
1000 : 1
1115 : 2
1104 : 1
4464 : 1
--------------------2019-08-14 0:18:20----------------
1106 : 6
4634 : 5
3018 : 50
3019 : 61
3024 : 86
3025 : 19
3013 : 222
3017 : 232
1011 : 21
3011 : 60
1001 : 9
4004 : 1
4017 : 1
1018 : 1
81 : 8
1050 : 1
205 : 7
1010 : 8
1006 : 4
3010 : 5
1100 : 1
1102 : 9
1000 : 6
--------------------2019-08-14 0:23:21----------------
3018 : 53
3019 : 74
3024 : 89
3025 : 18
3013 : 384
3017 : 310
3011 : 67
1001 : 162
81 : 2
205 : 11
3010 : 21
1100 : 1
1000 : 1
1115 : 3
4464 : 1
--------------------2019-08-14 0:28:21----------------
1106 : 3
3018 : 50
3019 : 74
3024 : 80
3025 : 22
3013 : 349
3017 : 301
3011 : 88
1001 : 320
81 : 2
205 : 9
4629 : 4
1006 : 1
3010 : 8
1100 : 8
1000 : 3
1115 : 3
--------------------2019-08-14 0:33:21----------------
1101 : 3
4031 : 1
1106 : 9
3018 : 54
3019 : 85
3024 : 79
3025 : 23
3013 : 287
3017 : 301
3011 : 51
1001 : 213
4017 : 1
1018 : 1
81 : 1
1050 : 1
205 : 9
4629 : 4
1006 : 1
3010 : 3
1100 : 8
1102 : 2
1115 : 1
--------------------2019-08-14 0:38:21----------------
1106 : 5
3018 : 50
3019 : 64
3024 : 79
3025 : 23
3013 : 333
3017 : 320
3011 : 81
1001 : 84
81 : 1
205 : 9
1006 : 2
3010 : 10
1100 : 5
1102 : 1
1000 : 3
--------------------2019-08-14 0:43:21----------------
1101 : 16
1106 : 7
3018 : 51
3019 : 78
3024 : 73
3025 : 22
3013 : 286
3017 : 253
1011 : 13
3011 : 68
1001 : 139
81 : 2
205 : 9
1010 : 8
4633 : 1
4629 : 1
1006 : 1
1100 : 5
1115 : 2
4464 : 1
--------------------2019-08-14 0:48:21----------------
3018 : 55
3019 : 82
3024 : 84
3025 : 18
3013 : 248
3017 : 231
3011 : 45
1001 : 2
81 : 1
205 : 8
1006 : 11
1000 : 2
4464 : 1
--------------------2019-08-14 0:53:21----------------
3018 : 49
3019 : 92
3024 : 54
3025 : 24
3013 : 133
3017 : 114
3011 : 41
1001 : 5
205 : 5
1006 : 1
1000 : 1
--------------------2019-08-14 0:58:21----------------
3018 : 46
3019 : 64
3024 : 72
3025 : 22
3013 : 337
3017 : 196
1011 : 17
3011 : 42
1001 : 3
81 : 2
205 : 7
1010 : 6
4633 : 2
1006 : 2
1000 : 2
1115 : 1
--------------------2019-08-14 1:03:21----------------
3018 : 59
3019 : 88
3024 : 87
3025 : 16
3013 : 262
3017 : 217
3011 : 47
1001 : 34
205 : 7
1115 : 4
--------------------2019-08-14 1:08:21----------------
3018 : 50
3019 : 55
3024 : 93
3025 : 21
3013 : 237
3017 : 249
3011 : 50
1001 : 12
205 : 8
1006 : 4
1115 : 3
--------------------2019-08-14 1:13:21----------------
3018 : 56
3019 : 63
3024 : 97
3025 : 22
3013 : 275
3017 : 239
3011 : 44
1001 : 10
205 : 8
4464 : 1
--------------------2019-08-14 1:18:21----------------
3018 : 55
3019 : 66
3024 : 92
3025 : 22
3013 : 304
3017 : 240
3011 : 40
1001 : 8
205 : 8
1115 : 1
4464 : 1
--------------------2019-08-14 1:23:21----------------
3018 : 50
3019 : 65
3024 : 81
3025 : 22
3013 : 261
3017 : 232
3011 : 47
1001 : 11
205 : 7
1115 : 1
--------------------2019-08-14 1:28:21----------------
1101 : 1
4634 : 2
3018 : 51
3019 : 52
3024 : 102
3025 : 20
3013 : 242
3017 : 179
1011 : 29
3011 : 40
1001 : 8
81 : 5
205 : 7
1010 : 9
1006 : 1
1003 : 1
1000 : 10
1115 : 2
--------------------2019-08-14 1:33:21----------------
3018 : 54
3019 : 61
3024 : 99
3025 : 20
3013 : 359
3017 : 239
3011 : 40
205 : 9
--------------------2019-08-14 1:38:21----------------
3018 : 51
3019 : 83
3024 : 68
3025 : 22
3013 : 348
3017 : 202
3011 : 43
1001 : 18
205 : 8
1006 : 8
1000 : 2
--------------------2019-08-14 1:43:21----------------
3018 : 51
3019 : 75
3024 : 73
3025 : 19
3013 : 233
3017 : 247
3011 : 52
1001 : 5
205 : 7
1115 : 2
4464 : 1
--------------------2019-08-14 1:48:22----------------
3018 : 53
3019 : 63
3024 : 104
3025 : 17
3013 : 249
3017 : 236
3011 : 45
1001 : 7
205 : 8
1006 : 1
1115 : 2
4464 : 1
--------------------2019-08-14 1:53:22----------------
1101 : 1
3018 : 49
3019 : 45
3024 : 92
3025 : 20
3013 : 274
3017 : 224
3011 : 37
1001 : 4
81 : 4
205 : 7
1006 : 3
1100 : 1
1000 : 1
1115 : 2
1104 : 1
--------------------2019-08-14 1:58:22----------------
3018 : 49
3019 : 72
3024 : 71
3025 : 20
3013 : 281
3017 : 206
3011 : 58
1001 : 7
205 : 8
1115 : 3
--------------------2019-08-14 2:03:22----------------
3018 : 37
3019 : 62
3024 : 48
3025 : 22
3013 : 487
3017 : 138
3011 : 40
1001 : 3
205 : 7
--------------------2019-08-14 2:08:22----------------
3018 : 54
3019 : 83
3024 : 94
3025 : 21
3013 : 81
3017 : 128
3011 : 29
1001 : 4
205 : 5
--------------------2019-08-14 2:13:22----------------
3018 : 51
3019 : 55
3024 : 89
3025 : 20
3013 : 141
3017 : 115
3011 : 40
205 : 5
4464 : 1
--------------------2019-08-14 2:18:22----------------
3018 : 51
3019 : 67
3024 : 84
3025 : 17
3013 : 131
3017 : 120
3011 : 39
1001 : 4
205 : 5
4464 : 1
--------------------2019-08-14 2:23:22----------------
4634 : 3
3018 : 55
3019 : 73
3024 : 102
3025 : 20
3013 : 273
3017 : 188
1011 : 21
3011 : 36
81 : 1
205 : 8
1010 : 9
4633 : 1
1006 : 5
1000 : 3
--------------------2019-08-14 2:28:22----------------
3018 : 52
3019 : 60
3024 : 100
3025 : 23
3013 : 293
3017 : 240
3011 : 41
1001 : 10
205 : 8
1115 : 3
--------------------2019-08-14 2:33:22----------------
3018 : 53
3019 : 65
3024 : 88
3025 : 21
3013 : 283
3017 : 241
3011 : 49
1001 : 13
205 : 8
1115 : 4
--------------------2019-08-14 2:38:22----------------
3018 : 53
3019 : 75
3024 : 85
3025 : 25
3013 : 251
3017 : 224
3011 : 49
1001 : 27
205 : 6
1115 : 6
--------------------2019-08-14 2:43:22----------------
3018 : 51
3019 : 62
3024 : 85
3025 : 21
3013 : 237
3017 : 233
3011 : 49
1001 : 6
205 : 8
1115 : 4
4464 : 1
--------------------2019-08-14 2:48:22----------------
3018 : 50
3019 : 63
3024 : 94
3025 : 23
3013 : 217
3017 : 251
3011 : 46
1001 : 5
205 : 7
1115 : 3
4464 : 1
--------------------2019-08-14 2:53:22----------------
4634 : 1
3018 : 52
3019 : 68
3024 : 85
3025 : 19
3013 : 288
3017 : 210
1011 : 5
3011 : 43
1001 : 4
81 : 1
205 : 7
1010 : 2
1006 : 3
1000 : 3
1115 : 1
--------------------2019-08-14 2:58:22----------------
3018 : 49
3019 : 72
3024 : 73
3025 : 22
3013 : 330
3017 : 226
3011 : 54
1001 : 11
205 : 9
1115 : 5
--------------------2019-08-14 3:03:22----------------
3018 : 50
3019 : 46
3024 : 96
3025 : 22
3013 : 337
3017 : 216
3011 : 39
1001 : 4
205 : 8
1115 : 1
--------------------2019-08-14 3:08:22----------------
3018 : 51
3019 : 85
3024 : 68
3025 : 21
3013 : 216
3017 : 221
3011 : 41
1001 : 5
205 : 7
--------------------2019-08-14 3:13:22----------------
3018 : 48
3019 : 41
3024 : 101
3025 : 22
3013 : 294
3017 : 222
3011 : 44
1001 : 19
205 : 7
1115 : 2
4464 : 1
--------------------2019-08-14 3:18:22----------------
3018 : 52
3019 : 64
3024 : 87
3025 : 22
3013 : 291
3017 : 226
3011 : 43
1001 : 10
205 : 8
1115 : 3
4464 : 1
--------------------2019-08-14 3:23:23----------------
1015 : 2
1106 : 1
3018 : 51
3019 : 86
3024 : 82
3025 : 18
3013 : 242
3017 : 203
1011 : 8
3011 : 51
1001 : 2
4017 : 1
1018 : 1
81 : 1
1050 : 1
205 : 7
1010 : 3
4633 : 1
