--------------------2019-09-15 0:04:44----------------
--------------------2019-09-15 0:09:44----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
205 : 2
1006 : 13
3030 : 2
4629 : 4
3017 : 31
3013 : 112
3011 : 7
1001 : 1
--------------------2019-09-15 0:14:44----------------
1011 : 6
205 : 2
3010 : 1
1010 : 5
4633 : 2
1003 : 1
1006 : 22
1031 : 2
3017 : 83
3013 : 149
3011 : 20
1001 : 60
1032 : 1
--------------------2019-09-15 0:19:44----------------
1011 : 6
205 : 3
3010 : 1
1010 : 5
1006 : 17
3017 : 55
3013 : 193
3011 : 13
1001 : 15
--------------------2019-09-15 0:24:44----------------
1011 : 4
205 : 2
3010 : 1
1010 : 5
4633 : 2
1006 : 6
4629 : 2
1000 : 5
3017 : 29
3013 : 185
3011 : 3
--------------------2019-09-15 0:29:44----------------
1011 : 11
205 : 2
1010 : 13
4633 : 3
1003 : 1
1006 : 31
1031 : 5
1014 : 14
1000 : 2
3017 : 69
3013 : 142
4634 : 1
3011 : 4
1001 : 1
--------------------2019-09-15 0:34:45----------------
1011 : 4
205 : 2
3010 : 3
1010 : 7
4633 : 3
1006 : 53
1014 : 10
3017 : 83
3013 : 87
3011 : 15
1001 : 6
--------------------2019-09-15 0:39:45----------------
1011 : 4
4017 : 1
1018 : 1
81 : 1
205 : 2
3010 : 4
1010 : 5
1006 : 78
1009 : 1
3017 : 95
3013 : 52
3011 : 23
1001 : 19
--------------------2019-09-15 0:44:45----------------
1011 : 5
205 : 1
1010 : 8
4633 : 3
1006 : 13
1014 : 13
1000 : 4
3017 : 12
3013 : 71
3011 : 12
1001 : 10
--------------------2019-09-15 0:49:45----------------
1015 : 1
1011 : 32
205 : 1
3010 : 2
1010 : 24
4633 : 5
1003 : 1
1006 : 5
1014 : 9
1000 : 9
3017 : 15
3013 : 77
3011 : 16
1032 : 7
--------------------2019-09-15 0:54:45----------------
1011 : 4
205 : 2
3010 : 29
1010 : 4
4633 : 1
1006 : 19
3030 : 2
3017 : 54
3013 : 100
3011 : 26
1001 : 3
--------------------2019-09-15 0:59:45----------------
205 : 2
3010 : 4
1006 : 14
3030 : 2
1000 : 3
3017 : 68
3013 : 102
3011 : 15
1001 : 185
--------------------2019-09-15 1:04:45----------------
205 : 2
1006 : 20
1000 : 1
3017 : 98
3013 : 150
3011 : 10
1001 : 4
--------------------2019-09-15 1:09:45----------------
205 : 2
3010 : 2
1006 : 17
1000 : 1
4464 : 1
3017 : 92
3013 : 102
3011 : 17
1001 : 9
--------------------2019-09-15 1:14:45----------------
205 : 2
3010 : 5
1006 : 16
3017 : 56
3013 : 99
3011 : 13
1001 : 3
--------------------2019-09-15 1:19:45----------------
205 : 2
3010 : 22
1006 : 14
3017 : 51
3013 : 88
3011 : 56
1001 : 7
--------------------2019-09-15 1:24:45----------------
205 : 2
3010 : 4
1006 : 19
4629 : 6
3017 : 48
3013 : 143
3011 : 19
1001 : 9
--------------------2019-09-15 1:29:45----------------
3016 : 2
205 : 3
3010 : 11
1006 : 1
3017 : 104
3013 : 53
3011 : 53
1001 : 3
--------------------2019-09-15 1:34:45----------------
--------------------2019-09-15 1:39:45----------------
--------------------2019-09-15 1:44:46----------------
--------------------2019-09-15 1:49:46----------------
--------------------2019-09-15 1:54:46----------------
--------------------2019-09-15 1:59:46----------------
--------------------2019-09-15 2:04:46----------------
--------------------2019-09-15 2:09:46----------------
--------------------2019-09-15 2:14:46----------------
--------------------2019-09-15 2:19:46----------------
--------------------2019-09-15 2:24:46----------------
--------------------2019-09-15 2:29:46----------------
--------------------2019-09-15 2:34:46----------------
--------------------2019-09-15 2:39:46----------------
--------------------2019-09-15 2:44:47----------------
--------------------2019-09-15 2:49:47----------------
--------------------2019-09-15 2:54:47----------------
--------------------2019-09-15 2:59:47----------------
--------------------2019-09-15 3:04:47----------------
--------------------2019-09-15 3:09:47----------------
--------------------2019-09-15 3:14:47----------------
--------------------2019-09-15 3:19:47----------------
--------------------2019-09-15 3:24:47----------------
--------------------2019-09-15 3:29:47----------------
--------------------2019-09-15 3:34:47----------------
--------------------2019-09-15 3:39:47----------------
--------------------2019-09-15 3:44:47----------------
--------------------2019-09-15 3:49:47----------------
--------------------2019-09-15 3:54:48----------------
--------------------2019-09-15 3:59:48----------------
--------------------2019-09-15 4:04:48----------------
--------------------2019-09-15 4:09:48----------------
--------------------2019-09-15 4:14:48----------------
--------------------2019-09-15 4:19:48----------------
--------------------2019-09-15 4:24:48----------------
--------------------2019-09-15 4:29:48----------------
--------------------2019-09-15 4:34:48----------------
--------------------2019-09-15 4:39:48----------------
--------------------2019-09-15 4:44:48----------------
--------------------2019-09-15 4:49:48----------------
--------------------2019-09-15 4:54:48----------------
--------------------2019-09-15 4:59:48----------------
--------------------2019-09-15 5:04:48----------------
--------------------2019-09-15 5:09:48----------------
--------------------2019-09-15 5:14:48----------------
--------------------2019-09-15 5:19:48----------------
--------------------2019-09-15 5:24:48----------------
--------------------2019-09-15 5:29:48----------------
--------------------2019-09-15 5:34:48----------------
--------------------2019-09-15 5:39:48----------------
--------------------2019-09-15 5:44:49----------------
--------------------2019-09-15 5:49:49----------------
--------------------2019-09-15 5:54:49----------------
--------------------2019-09-15 5:59:49----------------
--------------------2019-09-15 6:04:49----------------
--------------------2019-09-15 6:09:49----------------
--------------------2019-09-15 6:14:49----------------
--------------------2019-09-15 6:19:49----------------
--------------------2019-09-15 6:24:49----------------
--------------------2019-09-15 6:29:49----------------
--------------------2019-09-15 6:34:49----------------
--------------------2019-09-15 6:39:49----------------
--------------------2019-09-15 6:44:49----------------
--------------------2019-09-15 6:49:50----------------
--------------------2019-09-15 6:54:50----------------
--------------------2019-09-15 6:59:50----------------
--------------------2019-09-15 7:04:50----------------
--------------------2019-09-15 7:09:50----------------
--------------------2019-09-15 7:14:50----------------
--------------------2019-09-15 7:19:50----------------
--------------------2019-09-15 7:24:50----------------
--------------------2019-09-15 7:29:50----------------
--------------------2019-09-15 7:34:50----------------
--------------------2019-09-15 7:39:50----------------
--------------------2019-09-15 7:44:50----------------
--------------------2019-09-15 7:49:50----------------
--------------------2019-09-15 7:54:50----------------
--------------------2019-09-15 7:59:50----------------
--------------------2019-09-15 8:04:50----------------
--------------------2019-09-15 8:09:50----------------
--------------------2019-09-15 8:14:51----------------
--------------------2019-09-15 8:19:51----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
205 : 1
3010 : 1
1006 : 1
3013 : 8
3011 : 2
--------------------2019-09-15 8:24:51----------------
3016 : 1
205 : 2
3010 : 25
4633 : 1
1006 : 2
3030 : 1
3017 : 8
3013 : 140
3011 : 50
1001 : 5
--------------------2019-09-15 8:29:51----------------
1011 : 22
205 : 1
3010 : 1
1010 : 27
4633 : 2
1006 : 4
3030 : 1
4629 : 1
1031 : 23
1014 : 4
1000 : 1
3017 : 3
3013 : 119
3011 : 4
1001 : 3
1032 : 5
--------------------2019-09-15 8:34:51----------------
1011 : 3
205 : 1
1010 : 5
4633 : 2
1006 : 2
3030 : 1
4629 : 2
1014 : 5
1000 : 2
3017 : 14
3013 : 112
3011 : 5
1001 : 386
--------------------2019-09-15 8:39:51----------------
1011 : 5
205 : 2
3010 : 2
1010 : 6
1006 : 3
3030 : 1
1000 : 2
3017 : 23
3013 : 82
3011 : 13
1001 : 9
--------------------2019-09-15 8:44:51----------------
205 : 2
3010 : 4
1006 : 14
1000 : 1
3017 : 67
3013 : 120
3011 : 16
1001 : 27
--------------------2019-09-15 8:49:51----------------
205 : 1
3010 : 6
1006 : 11
4464 : 1
3017 : 23
3013 : 97
3011 : 20
1001 : 9
--------------------2019-09-15 8:54:51----------------
205 : 2
3010 : 11
1006 : 7
1009 : 1
3017 : 21
3013 : 83
3011 : 29
1001 : 10
--------------------2019-09-15 8:59:51----------------
--------------------2019-09-15 9:04:51----------------
--------------------2019-09-15 9:09:51----------------
--------------------2019-09-15 9:14:51----------------
--------------------2019-09-15 9:19:51----------------
--------------------2019-09-15 9:24:51----------------
--------------------2019-09-15 9:29:51----------------
--------------------2019-09-15 9:34:52----------------
--------------------2019-09-15 9:39:52----------------
--------------------2019-09-15 9:44:52----------------
