--------------------2019-07-20 0:03:11----------------
--------------------2019-07-20 0:08:11----------------
--------------------2019-07-20 0:13:11----------------
--------------------2019-07-20 0:18:11----------------
--------------------2019-07-20 0:23:11----------------
--------------------2019-07-20 0:28:11----------------
--------------------2019-07-20 0:33:11----------------
--------------------2019-07-20 0:38:11----------------
--------------------2019-07-20 0:43:11----------------
--------------------2019-07-20 0:48:11----------------
--------------------2019-07-20 0:53:11----------------
--------------------2019-07-20 0:58:11----------------
--------------------2019-07-20 1:03:11----------------
--------------------2019-07-20 1:08:11----------------
--------------------2019-07-20 1:13:11----------------
--------------------2019-07-20 1:18:11----------------
--------------------2019-07-20 1:23:11----------------
--------------------2019-07-20 1:28:11----------------
--------------------2019-07-20 1:33:11----------------
--------------------2019-07-20 1:38:11----------------
--------------------2019-07-20 1:43:11----------------
--------------------2019-07-20 1:48:12----------------
--------------------2019-07-20 1:53:12----------------
--------------------2019-07-20 1:58:12----------------
--------------------2019-07-20 2:03:12----------------
--------------------2019-07-20 2:08:12----------------
--------------------2019-07-20 2:13:12----------------
--------------------2019-07-20 2:18:12----------------
--------------------2019-07-20 2:23:12----------------
--------------------2019-07-20 2:28:12----------------
--------------------2019-07-20 2:33:12----------------
--------------------2019-07-20 2:38:12----------------
--------------------2019-07-20 2:43:12----------------
--------------------2019-07-20 2:48:12----------------
--------------------2019-07-20 2:53:12----------------
--------------------2019-07-20 2:58:12----------------
--------------------2019-07-20 3:03:13----------------
--------------------2019-07-20 3:08:13----------------
--------------------2019-07-20 3:13:13----------------
--------------------2019-07-20 3:18:13----------------
--------------------2019-07-20 3:23:13----------------
--------------------2019-07-20 3:28:13----------------
--------------------2019-07-20 3:33:13----------------
4003 : 1
4004 : 1
4010 : 1
4041 : 1
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 1
888 : 1
889 : 1
4230 : 1
4501 : 1
4500 : 1
4613 : 1
4615 : 1
4612 : 1
4628 : 1
4430 : 1
4431 : 1
4432 : 1
4636 : 1
1202 : 4
51 : 1
50 : 1
42 : 1
708 : 1
54 : 1
56 : 19
52 : 1
46 : 1
2820 : 1
960 : 1
3324 : 1
1264 : 1
3554 : 1
100 : 2
2821 : 2
10 : 18
201 : 1
629 : 7
30 : 2
14 : 4
53 : 1
635 : 2
622 : 6
44 : 4
643 : 8
621 : 1
211 : 1
202 : 4
--------------------2019-07-20 3:38:13----------------
1202 : 3
708 : 9
54 : 9
56 : 131
52 : 2
960 : 1
3324 : 1
100 : 33
2821 : 6
10 : 156
629 : 203
11 : 281
30 : 60
31 : 154
14 : 85
53 : 250
635 : 3
622 : 31
44 : 12
34 : 9
643 : 36
615 : 1
200 : 24
610 : 118
32 : 1
600 : 10
4469 : 10
638 : 70
611 : 56
20 : 6
653 : 4
633 : 9
634 : 9
801 : 9
807 : 7
897 : 1
656 : 1
899 : 1
898 : 1
900 : 3
902 : 1
904 : 1
13 : 11
657 : 51
17 : 53
642 : 17
630 : 3
3555 : 9
4470 : 8
915 : 6
916 : 9
903 : 1
919 : 55
202 : 6
922 : 4
716 : 70
--------------------2019-07-20 3:43:13----------------
708 : 10
54 : 3
52 : 11
960 : 1
3324 : 1
100 : 36
2821 : 3
10 : 499
629 : 193
11 : 2015
30 : 207
31 : 278
14 : 699
53 : 466
635 : 3
622 : 8
44 : 44
34 : 13
615 : 5
200 : 5
610 : 4
32 : 1
4469 : 5
641 : 2
