--------------------2019-07-21 0:03:45----------------
--------------------2019/7/21 0:08:45----------------
--------------------2019/7/21 0:13:45----------------
--------------------2019/7/21 0:18:46----------------
--------------------2019/7/21 0:23:46----------------
4003 : 1
4004 : 1
4010 : 1
4041 : 1
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 1
888 : 1
889 : 1
4230 : 1
4501 : 1
4500 : 1
4613 : 1
4615 : 1
4612 : 1
4628 : 1
4430 : 1
4431 : 1
4432 : 1
4636 : 1
1202 : 3
51 : 1
50 : 1
42 : 1
708 : 1
54 : 1
56 : 1
52 : 1
46 : 1
2820 : 1
960 : 1
3324 : 1
1264 : 1
3554 : 1
100 : 7
2821 : 2
10 : 8
201 : 1
629 : 7
621 : 1
211 : 1
4464 : 1
4460 : 2
--------------------2019/7/21 0:28:46----------------
4003 : 1
4004 : 1
4010 : 1
4041 : 1
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 1
888 : 1
889 : 1
4230 : 1
4501 : 1
4500 : 1
4613 : 1
4615 : 1
4612 : 1
4628 : 1
4430 : 1
4431 : 1
4432 : 1
4636 : 1
1202 : 5
51 : 1
50 : 1
42 : 1
708 : 2
54 : 2
56 : 19
52 : 2
46 : 1
2820 : 1
960 : 2
3324 : 2
1264 : 1
3554 : 1
100 : 10
2821 : 6
10 : 103
201 : 1
629 : 33
11 : 357
30 : 41
31 : 42
14 : 58
53 : 100
635 : 2
622 : 20
44 : 2
34 : 1
643 : 3
200 : 10
621 : 1
610 : 2
600 : 1
638 : 15
211 : 1
20 : 17
653 : 10
633 : 1
634 : 1
801 : 1
897 : 1
656 : 1
899 : 1
898 : 1
900 : 2
902 : 1
904 : 1
13 : 13
657 : 26
17 : 3
642 : 1
3555 : 7
817 : 7
915 : 2
916 : 1
903 : 1
923 : 83
919 : 42
22 : 16
925 : 2
645 : 1
651 : 3
650 : 10
922 : 2
652 : 1
639 : 1
804 : 1
--------------------2019/7/21 0:33:46----------------
708 : 4
54 : 1
56 : 1
52 : 6
960 : 2
100 : 21
10 : 394
629 : 253
11 : 8509
30 : 235
31 : 912
14 : 938
53 : 883
635 : 8
622 : 20
44 : 62
34 : 31
643 : 3
200 : 11
