--------------------2019-07-23 0:02:12----------------
--------------------2019-07-23 0:07:12----------------
--------------------2019-07-23 0:12:12----------------
--------------------2019-07-23 0:17:12----------------
--------------------2019-07-23 0:22:12----------------
--------------------2019-07-23 0:27:12----------------
--------------------2019-07-23 0:32:12----------------
--------------------2019-07-23 0:37:12----------------
--------------------2019-07-23 0:42:12----------------
--------------------2019-07-23 0:47:12----------------
--------------------2019-07-23 0:52:12----------------
4003 : 1
4004 : 1
4010 : 2
4041 : 1
4017 : 2
658 : 2
2953 : 2
1281 : 2
545 : 2
888 : 2
889 : 2
4230 : 2
4501 : 2
4500 : 2
4613 : 2
4615 : 2
4612 : 2
4628 : 2
4430 : 2
4431 : 2
4432 : 2
4636 : 2
1202 : 57
51 : 2
50 : 2
42 : 2
708 : 6
54 : 4
56 : 57
52 : 2
46 : 2
2820 : 2
960 : 2
3324 : 2
1264 : 2
3554 : 2
100 : 37
2821 : 8
10 : 106
201 : 2
629 : 62
11 : 2
30 : 58
14 : 9
53 : 38
635 : 32
622 : 59
44 : 22
643 : 53
200 : 28
2957 : 1
621 : 2
4469 : 4
638 : 6
211 : 2
653 : 32
633 : 4
634 : 4
801 : 3
657 : 10
3555 : 10
1108 : 1
--------------------2019-07-23 0:57:12----------------
708 : 1
54 : 1
56 : 1
52 : 7
960 : 8
3324 : 2
100 : 33
2821 : 7
10 : 215
201 : 1
629 : 147
11 : 5534
30 : 145
31 : 1168
14 : 2784
53 : 678
635 : 7
622 : 25
44 : 110
34 : 57
643 : 6
200 : 14
610 : 163
32 : 9
600 : 4
4469 : 5
638 : 258
640 : 3
611 : 39
20 : 59
653 : 4
633 : 1
634 : 1
801 : 1
807 : 6
897 : 2
656 : 2
899 : 2
898 : 2
900 : 5
902 : 2
904 : 2
13 : 36
657 : 112
17 : 166
642 : 2
3555 : 24
4470 : 4
817 : 2
915 : 86
916 : 9
3341 : 1
903 : 2
923 : 105
919 : 101
22 : 589
918 : 1
925 : 4
922 : 95
906 : 1
804 : 62
805 : 60
917 : 1
--------------------2019-07-23 1:02:12----------------
4010 : 1
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 2
888 : 1
889 : 1
4230 : 1
4501 : 1
