--------------------2019-09-10 0:03:55----------------
652 : 2
4497 : 4
1105 : 1
56 : 74
52 : 53
643 : 20
200 : 161
622 : 189
34 : 12
640 : 1
32 : 1
3555 : 24
642 : 149
4418 : 4
4481 : 1
4460 : 2
103 : 2
630 : 31
1230 : 435
4003 : 4
4004 : 4
4010 : 4
4041 : 4
4017 : 4
658 : 4
2953 : 4
1281 : 4
545 : 4
888 : 4
889 : 4
4230 : 4
4501 : 4
4500 : 4
4613 : 4
4615 : 4
4612 : 4
4628 : 4
4430 : 6
4431 : 4
4432 : 4
4636 : 4
1202 : 17
51 : 4
50 : 4
42 : 4
708 : 12
54 : 11
46 : 4
621 : 4
211 : 4
2820 : 4
960 : 4
3324 : 4
1264 : 4
3554 : 4
2821 : 12
10 : 301
201 : 11
14 : 1792
629 : 1565
30 : 153
11 : 371
31 : 2418
627 : 156
53 : 1869
633 : 8
634 : 8
801 : 8
213 : 4
20 : 1
804 : 4
638 : 237
4469 : 7
615 : 25
635 : 113
636 : 7
653 : 11
44 : 7
716 : 814
626 : 20
645 : 3
4470 : 4
1107 : 46
807 : 3
650 : 2
644 : 1
600 : 45
41 : 2
610 : 290
611 : 86
4444 : 2
100 : 113
657 : 60
2819 : 37
17 : 75
13 : 6
--------------------2019/9/10 0:08:56----------------
1108 : 5
21 : 1
1103 : 3
56 : 341
52 : 165
643 : 33
200 : 251
622 : 277
34 : 81
640 : 4
32 : 16
3555 : 72
642 : 348
624 : 5
22 : 15
625 : 8
4481 : 1
4464 : 1
103 : 11
630 : 51
1230 : 477
4003 : 16
4004 : 16
4010 : 16
4041 : 16
4017 : 16
658 : 16
2953 : 16
1281 : 16
545 : 16
888 : 16
889 : 16
4230 : 16
4501 : 16
4500 : 16
4613 : 16
4615 : 16
4612 : 16
4628 : 16
4430 : 16
4431 : 16
4432 : 16
4636 : 16
1202 : 66
51 : 16
50 : 16
42 : 16
708 : 42
54 : 36
46 : 16
621 : 16
211 : 15
2820 : 16
960 : 16
3324 : 16
1264 : 16
3554 : 16
2821 : 35
10 : 854
201 : 27
14 : 3601
629 : 2692
30 : 312
11 : 1454
31 : 3942
627 : 184
53 : 2649
633 : 26
634 : 26
801 : 23
20 : 3
804 : 2
638 : 485
4469 : 13
615 : 74
635 : 140
636 : 15
653 : 25
44 : 125
716 : 785
626 : 52
4470 : 12
1107 : 88
641 : 11
202 : 6
3322 : 5
807 : 8
639 : 27
644 : 1
812 : 7
821 : 7
600 : 8
656 : 3
554 : 2
610 : 1339
611 : 313
4444 : 34
100 : 581
657 : 191
2819 : 39
17 : 128
13 : 22
--------------------2019/9/10 0:13:56----------------
1108 : 3
704 : 1
751 : 4
800 : 94
1103 : 3
56 : 322
52 : 144
643 : 104
200 : 192
622 : 233
34 : 78
640 : 4
32 : 17
3555 : 191
642 : 294
624 : 1
22 : 49
625 : 20
4418 : 10
4419 : 1
659 : 1
103 : 19
630 : 94
1230 : 231
4003 : 8
4004 : 4
4010 : 5
4041 : 4
4017 : 5
658 : 5
2953 : 5
1281 : 5
545 : 5
888 : 5
889 : 5
4230 : 5
4501 : 5
4500 : 5
4613 : 5
4615 : 5
4612 : 5
4628 : 5
4430 : 6
4431 : 5
4432 : 5
4636 : 5
1202 : 100
51 : 5
50 : 5
42 : 5
708 : 47
54 : 34
46 : 5
621 : 5
211 : 5
2820 : 5
960 : 5
3324 : 5
1264 : 5
3554 : 5
2821 : 32
10 : 2611
201 : 20
14 : 2856
629 : 3000
30 : 993
11 : 3328
31 : 3069
627 : 180
53 : 2445
633 : 42
634 : 42
801 : 272
20 : 3
804 : 10
638 : 1802
4469 : 7
615 : 42
635 : 107
636 : 9
653 : 41
44 : 155
626 : 144
645 : 2
4470 : 6
1107 : 226
641 : 3
202 : 36
3322 : 1
805 : 2
807 : 22
701 : 1
650 : 15
639 : 1859
812 : 3
821 : 3
600 : 8
656 : 2
4445 : 2
2957 : 1
610 : 1316
611 : 1158
4444 : 3
210 : 2
100 : 1179
657 : 1440
2819 : 48
17 : 3073
13 : 1522
--------------------2019/9/10 0:18:56----------------
704 : 2
705 : 1
56 : 142
52 : 122
643 : 78
200 : 87
622 : 143
34 : 228
4635 : 1
640 : 28
32 : 149
3555 : 212
642 : 297
22 : 125
625 : 28
4418 : 2
4428 : 1
4421 : 1
4424 : 1
659 : 1
4464 : 1
4460 : 6
103 : 32
630 : 107
1230 : 344
4412 : 8
4414 : 3
667 : 2
4430 : 6
1202 : 29
708 : 19
54 : 17
2821 : 11
10 : 2345
201 : 6
14 : 4346
629 : 2869
30 : 1657
11 : 7244
31 : 3757
627 : 217
53 : 2831
633 : 19
634 : 19
801 : 94
20 : 3
804 : 4
638 : 1754
4469 : 3
615 : 29
635 : 44
636 : 1
653 : 21
44 : 420
716 : 427
626 : 146
4470 : 2
1107 : 244
641 : 5
202 : 11
3322 : 5
807 : 32
701 : 6
639 : 1819
644 : 3
815 : 1
660 : 1
600 : 8
656 : 54
554 : 2
610 : 1635
611 : 1031
100 : 665
657 : 1591
2819 : 35
17 : 2935
13 : 793
4634 : 2
--------------------2019/9/10 0:23:56----------------
704 : 5
705 : 4
800 : 4
619 : 1
203 : 1
790 : 2
56 : 187
52 : 123
643 : 155
200 : 53
622 : 93
34 : 152
4635 : 2
640 : 38
32 : 23
3555 : 258
642 : 266
22 : 175
625 : 49
4418 : 7
4419 : 1
4428 : 2
4421 : 2
4424 : 1
103 : 35
4539 : 1
4631 : 1
630 : 139
1230 : 236
4003 : 2
4004 : 2
4010 : 2
4041 : 2
4017 : 2
658 : 2
2953 : 2
1281 : 2
545 : 2
888 : 2
889 : 2
4230 : 2
4501 : 2
4500 : 2
4613 : 2
4615 : 2
4612 : 2
4628 : 2
4430 : 7
4431 : 2
4432 : 2
4636 : 2
1202 : 26
51 : 2
50 : 2
42 : 2
708 : 24
54 : 16
46 : 2
621 : 2
211 : 2
2820 : 2
960 : 2
3324 : 2
1264 : 2
3554 : 2
2821 : 13
10 : 1520
201 : 8
14 : 3457
629 : 2672
30 : 671
11 : 2081
31 : 2821
627 : 245
53 : 3037
633 : 22
634 : 22
801 : 100
20 : 5
804 : 13
638 : 2000
4469 : 2
615 : 18
635 : 17
636 : 6
653 : 9
44 : 288
626 : 131
4470 : 1
1107 : 218
641 : 10
202 : 16
3322 : 6
805 : 6
807 : 5
701 : 17
639 : 1669
644 : 9
815 : 2
812 : 1
821 : 1
600 : 12
656 : 116
4445 : 3
4420 : 1
610 : 860
611 : 438
4444 : 3
100 : 589
657 : 1914
2819 : 39
17 : 2905
13 : 704
4634 : 4
--------------------2019/9/10 0:28:56----------------
704 : 3
705 : 15
751 : 3
800 : 3
21 : 1
56 : 192
52 : 123
643 : 136
200 : 140
622 : 170
34 : 215
640 : 66
32 : 7
3555 : 214
642 : 362
22 : 47
625 : 57
4418 : 6
103 : 21
630 : 125
1230 : 224
4414 : 1
4003 : 2
4004 : 2
4010 : 2
4041 : 2
4017 : 2
658 : 2
2953 : 2
1281 : 2
545 : 2
888 : 2
889 : 2
4230 : 2
4501 : 2
4500 : 2
4613 : 2
4615 : 2
4612 : 2
4628 : 2
4430 : 4
4431 : 2
4432 : 2
4636 : 2
1202 : 79
51 : 2
50 : 2
42 : 4
708 : 28
54 : 22
46 : 2
621 : 2
211 : 2
2820 : 2
960 : 2
3324 : 2
1264 : 2
3554 : 2
2821 : 16
10 : 2361
201 : 11
14 : 3970
629 : 3114
30 : 1165
11 : 5834
31 : 3610
627 : 200
53 : 3517
633 : 26
634 : 26
801 : 121
20 : 1
804 : 9
638 : 2836
4469 : 13
615 : 61
635 : 33
636 : 11
653 : 14
44 : 442
716 : 81
626 : 142
4470 : 7
1107 : 226
641 : 12
202 : 55
3322 : 7
805 : 1
807 : 108
701 : 17
639 : 1918
644 : 1
815 : 2
812 : 1
821 : 1
600 : 2
9 : 12
656 : 501
554 : 8
610 : 687
611 : 322
100 : 724
657 : 1423
2819 : 39
17 : 3841
13 : 2053
--------------------2019/9/10 0:33:56----------------
704 : 4
705 : 35
751 : 1
800 : 11
709 : 2
1103 : 3
56 : 90
52 : 132
643 : 44
200 : 157
622 : 166
34 : 222
640 : 91
32 : 51
3555 : 272
642 : 331
22 : 152
625 : 50
4418 : 2
103 : 20
4539 : 2
4631 : 2
4525 : 2
630 : 142
1230 : 280
4010 : 2
4017 : 2
658 : 2
2953 : 2
1281 : 2
545 : 2
888 : 2
889 : 2
4230 : 2
4501 : 2
4500 : 2
4613 : 2
4615 : 2
4612 : 2
4628 : 2
4430 : 6
4431 : 2
4432 : 2
4636 : 2
1202 : 14
51 : 2
50 : 2
42 : 2
708 : 14
54 : 12
46 : 2
621 : 2
211 : 2
2820 : 2
960 : 3
3324 : 2
1264 : 2
3554 : 2
2821 : 12
10 : 1831
201 : 9
14 : 4224
629 : 4082
30 : 1221
11 : 6594
31 : 4135
627 : 247
53 : 3801
633 : 12
634 : 12
801 : 39
20 : 6
804 : 4
638 : 2098
4469 : 4
615 : 58
635 : 21
636 : 5
653 : 17
44 : 420
716 : 61
626 : 141
645 : 1
4470 : 7
1107 : 226
641 : 2
202 : 9
3322 : 2
805 : 3
807 : 1
701 : 1
650 : 2
639 : 1560
815 : 1
812 : 1
821 : 1
600 : 16
656 : 199
554 : 1
4445 : 4
2957 : 2
610 : 1238
611 : 672
