--------------------2019-09-15 0:04:44----------------
--------------------2019-09-15 0:09:44----------------
4003 : 1
4004 : 1
4010 : 1
4041 : 1
22 : 3
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 1
888 : 1
889 : 1
4230 : 1
4501 : 1
4500 : 1
4613 : 1
4615 : 1
4612 : 1
4628 : 1
4430 : 1
4431 : 1
4432 : 1
4636 : 1
1202 : 3
51 : 1
50 : 1
42 : 1
708 : 1
54 : 2
46 : 1
621 : 1
211 : 1
2820 : 1
960 : 1
3324 : 1
1264 : 1
3554 : 1
2821 : 3
10 : 41
201 : 1
14 : 34
629 : 149
30 : 35
11 : 37
31 : 45
53 : 107
638 : 30
635 : 13
653 : 1
44 : 4
716 : 29
610 : 2
611 : 2
100 : 5
657 : 25
56 : 13
622 : 12
52 : 1
3555 : 25
34 : 2
640 : 12
200 : 6
642 : 2
--------------------2019-09-15 0:14:44----------------
32 : 2
1202 : 1
708 : 4
54 : 6
2821 : 7
10 : 266
14 : 43
629 : 253
30 : 205
11 : 204
31 : 80
53 : 187
633 : 4
634 : 4
801 : 4
638 : 83
615 : 1
635 : 22
653 : 4
44 : 8
716 : 6
701 : 2
41 : 2
610 : 104
611 : 41
100 : 47
657 : 43
56 : 38
622 : 40
52 : 1
3555 : 43
34 : 4
640 : 22
200 : 30
643 : 9
704 : 2
705 : 1
--------------------2019-09-15 0:19:44----------------
32 : 1
1202 : 1
708 : 1
54 : 1
2821 : 5
10 : 194
14 : 37
629 : 263
30 : 172
11 : 49
31 : 55
53 : 159
633 : 1
634 : 1
801 : 1
638 : 56
635 : 16
636 : 1
653 : 5
44 : 3
716 : 24
45 : 1
610 : 142
611 : 112
100 : 6
657 : 44
56 : 1
622 : 29
52 : 2
3555 : 44
34 : 1
640 : 22
200 : 19
643 : 10
--------------------2019-09-15 0:24:44----------------
630 : 4
708 : 4
54 : 5
2821 : 3
10 : 241
14 : 38
629 : 213
30 : 168
11 : 99
31 : 22
53 : 79
633 : 4
634 : 4
801 : 4
638 : 26
635 : 6
600 : 5
100 : 1
657 : 41
56 : 50
622 : 10
3555 : 41
640 : 20
643 : 7
--------------------2019-09-15 0:29:44----------------
651 : 3
