--------------------2019-11-08 21:33:40----------------
--------------------2019-11-08 21:38:40----------------
--------------------2019-11-08 21:43:40----------------
--------------------2019-11-08 21:48:40----------------
4003 : 1
4004 : 1
4010 : 2
4041 : 1
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 1
888 : 1
889 : 1
4230 : 1
4501 : 1
4500 : 1
4613 : 1
4615 : 1
4612 : 1
4628 : 1
4430 : 1
4431 : 1
4432 : 1
4636 : 1
1202 : 3
51 : 1
50 : 1
42 : 1
708 : 1
54 : 1
46 : 1
2820 : 1
960 : 1
3324 : 1
1264 : 1
3554 : 1
2821 : 2
201 : 1
56 : 35
52 : 1
4012 : 1
10 : 32
14 : 2
11 : 25
53 : 7
100 : 6
--------------------2019-11-08 21:53:40----------------
10 : 55
14 : 10
11 : 62
30 : 3
100 : 1
--------------------2019-11-08 21:58:40----------------
4031 : 3
4003 : 3
708 : 3
54 : 1
960 : 1
2821 : 3
633 : 3
634 : 3
213 : 1
622 : 1
34 : 2
643 : 2
4018 : 4
32 : 1
709 : 1
10 : 165
14 : 42
11 : 117
31 : 17
53 : 31
629 : 64
30 : 70
635 : 1
801 : 3
--------------------2019-11-08 22:03:40----------------
4003 : 1
4004 : 1
4010 : 1
4041 : 1
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 1
888 : 1
889 : 1
4230 : 1
4501 : 1
4500 : 1
4613 : 1
4615 : 1
4612 : 1
4628 : 1
4430 : 1
4431 : 1
4432 : 1
4636 : 1
1202 : 3
51 : 1
50 : 1
42 : 1
708 : 2
54 : 1
46 : 1
2820 : 1
960 : 1
3324 : 1
1264 : 1
3554 : 1
2821 : 4
201 : 1
633 : 1
634 : 1
56 : 35
52 : 1
32 : 1
10 : 131
14 : 11
11 : 42
31 : 1
53 : 19
629 : 22
30 : 56
610 : 2
100 : 7
801 : 1
611 : 2
--------------------2019-11-08 22:08:40----------------
960 : 1
3341 : 1
34 : 1
4018 : 1
10 : 30
14 : 72
11 : 46
31 : 22
53 : 52
30 : 2
--------------------2019-11-08 22:13:45----------------
4003 : 1
4004 : 1
4010 : 1
4041 : 1
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 1
888 : 1
889 : 1
4230 : 1
4501 : 1
4500 : 1
4613 : 1
4615 : 1
4612 : 1
4628 : 1
4430 : 1
4431 : 1
4432 : 1
4636 : 1
1202 : 3
51 : 1
50 : 1
42 : 1
708 : 1
54 : 1
46 : 1
2820 : 1
960 : 2
3324 : 1
1264 : 1
3554 : 1
2821 : 2
201 : 1
3341 : 1
56 : 35
52 : 1
34 : 1
4018 : 1
10 : 63
14 : 24
11 : 44
31 : 12
53 : 16
30 : 2
100 : 6
--------------------2019-11-08 22:18:45----------------
--------------------2019-11-08 22:23:45----------------
--------------------2019-11-08 22:28:45----------------
--------------------2019-11-08 22:33:45----------------
--------------------2019-11-08 22:38:45----------------
--------------------2019-11-08 22:43:45----------------
4003 : 1
4004 : 1
4010 : 1
4041 : 1
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 1
888 : 1
889 : 1
4230 : 1
4501 : 1
4500 : 1
4613 : 1
4615 : 1
4612 : 1
4628 : 1
4430 : 1
4431 : 1
4432 : 1
4636 : 1
1202 : 3
51 : 1
50 : 1
42 : 1
708 : 1
54 : 1
46 : 1
2820 : 1
960 : 1
3324 : 1
1264 : 1
3554 : 1
2821 : 2
201 : 1
56 : 35
52 : 1
10 : 34
14 : 75
11 : 28
31 : 19
53 : 56
30 : 1
100 : 6
--------------------2019-11-08 22:48:45----------------
960 : 1
3341 : 1
34 : 1
4018 : 1
10 : 6
14 : 6
11 : 9
31 : 3
53 : 3
30 : 2
--------------------2019-11-08 22:53:45----------------
--------------------2019-11-08 22:58:45----------------
--------------------2019-11-08 23:03:45----------------
--------------------2019-11-08 23:08:45----------------
--------------------2019-11-08 23:13:45----------------
--------------------2019-11-08 23:18:46----------------
--------------------2019-11-08 23:23:46----------------
--------------------2019-11-08 23:28:46----------------
--------------------2019-11-08 23:33:46----------------
--------------------2019-11-08 23:38:46----------------
--------------------2019-11-08 23:43:46----------------
--------------------2019-11-08 23:48:46----------------
--------------------2019-11-08 23:53:46----------------
--------------------2019-11-08 23:58:46----------------
