;英雄名     X      Y       范围     数量      重刷时间
卧龙守将12    58   131      1         1         5
卧龙守将11    60   124      1         1         5
卧龙道尊3　   54   115      1         1         5
卧龙魔将5     81   109      1         1         5

卧龙战将2    68   162      1        1         5
卧龙守将12    45   169      1        1         5
卧龙守将10    31   161      1        1         5
卧龙守将11    48   162      1        1         5
卧龙守将5     53   173      1        1         5

卧龙守将10    51  192      1        1         5
卧龙守将9     31  206      1        1         5
卧龙守将2     57  204      1       1          5

卧龙守将10    79  179      1        1         5
卧龙守将12    81  199      1        1         5
卧龙守将3     97  191     1        1         5
卧龙战将5     99  180      1        1         5


卧龙守将9     114 159      1        1         5
卧龙守将2     134 171      1        1         5
卧龙守将9     156 183      1        1         5
卧龙守将2     197 128      1        1         5
卧龙守将9     168 188      1        1         5
卧龙守将5     170 205      1        1         5
卧龙守将10    173 108      1        1         5
卧龙守将10    188 210      1         1         5
卧龙守将12    201 50      1         1         5
卧龙守将9     161 176      1         1         5
卧龙守将10    187 22      1        1         5
卧龙守将12    202 145      1        1         5
卧龙守将9     215 156      1        1         5
卧龙守将4     181 144      1        1         5
卧龙守将4     160 23      1        1         5
卧龙守将10    137 58      1        1         5
卧龙守将12    121 92      1        1         5
卧龙守将12    174 68      1         1         5
卧龙守将3     156 157      1        1         5
卧龙守将12    162 45      1         1         5




卧龙守将10    216 191       1         1         2
斩浪（卧龙）     68 53       1         1         7
卧龙魔将1     133 130     1         1         7
卧龙守将11    28 192      1        1         3
卧龙守将3     38 183      1        1         3
卧龙守将3     33 103      1        1         3
卧龙守将5     78 106      1        1         3
卧龙守将6     110 116     1        1         3
卧龙守将2     200 35      1        1         5
卧龙守将10     104 178      1        1         5
卧龙守将9     98 162      1        1         5
卧龙守将6     83 166      1        1         5
卧龙战将5     72 149      1        1         5
卧龙战将4     90 122      1        1         5
卧龙战将5     127 114      1        1         5
卧龙魔将1     158 74      1        1         5
卧龙守将10     148 24      1        1         5
卧龙守将9     93 93      1        1         5
卧龙守将6     103 75    1        1         3

卧龙战将1     145 144      1        1         5
卧龙战将2     169 146      1        1         5
卧龙战将3     150 52      1        1         5
卧龙战将4     209 180      1        1         5
卧龙战将5     53 147      1        1         5
卧龙战将4     25 93      1        1         5
卧龙战将5     93 103      1        1         5



卧龙守将13    64 92       1         1         2
卧龙守将14    71 74       1         1         3
卧龙守将15     80 71       1         1         3
