;地图	任务号	字段号	字段值	怪物名		触发值	道具名	触发值	文件名		组队
JZ002	16	2	25	骷髅战士114	1	*	0	fenji1		0
JZ003	17	2	25	雪域冰甲虫	1	*	0	fenji2		0
JZ004	18	2	25	雪域毛人	1	*	0	fenji3		0
JZ005	19	2	25	雪域冰狼	1	*	0	fenji4		0
JZ006	20	2	25	雪域冰狼	1	*	0	fenji5		0
;;八周年每日免费任务
D2008	16	99	5	白野猪080	1	*	0	Happy9281	0
D2008	16	99	5	白野猪08	1	*	0	Happy9281	0
D2009	16	99	5	白野猪080	1	*	0	Happy9281	0
D2009	16	99	5	白野猪08	1	*	0	Happy9281	0
D2010	16	99	5	白野猪080	1	*	0	Happy9281	0
D2010	16	99	5	白野猪08	1	*	0	Happy9281	0
D2011	16	99	5	白野猪080	1	*	0	Happy9281	0
D2011	16	99	5	白野猪08	1	*	0	Happy9281	0
D2012	16	99	5	白野猪080	1	*	0	Happy9281	0
D2012	16	99	5	白野猪08	1	*	0	Happy9281	0
;每日历练任务
E701   22  25  10 恶魔野猪  1       *	0       Lilian01         0
D024   22  26  10 恶魔沃玛  1       *	0       Lilian02         0
D601   22  27  10 恶魔蜈蚣  1       *	0       Lilian03         0
D717   22  28  10 恶魔楔蛾  1       *	0       Lilian04         0
D5071  22  29  10 恶魔祖玛  1       *	0       Lilian05         0
D2079  22  30  10 恶魔牛魔  1       *	0       Lilian06         0
63     22  31  10 恶魔魔龙  1       *	0       Lilian07         0
H007   22  32  10 地下长廊恶魔  1       *	0       Lilian08         0
;;每日密信任务
H007    16      98      2       半兽战士0812	1       *	0       MiXin01         0
;;成长任务1-22
0       102     2       10	稻草人	        1       *	0       NEWRW			0 
0       102     3       15	半兽人	        1       *	0       NEWRW1			0 
D011       103     2       10      骷髅	        1       *	0       NEWRW2			0
D011       103     2       10      骷髅0	        1       *	0       NEWRW2			0
D012       103     2       10      骷髅	        1       *	0       NEWRW2			0 
D012       103     2       10      骷髅0	        1       *	0       NEWRW2			0  
D401       103     3       10      僵尸2	1       *	0       NEWRW3			0
D401       103     3       10      僵尸20	1       *	0       NEWRW3			0
D401       103     3       10      僵尸3	1       *	0       NEWRW3			0
D401       103     3       10      僵尸30	1       *	0       NEWRW3			0
D402       103     3       10      僵尸2	1       *	0       NEWRW3			0
D402       103     3       10      僵尸20	1       *	0       NEWRW3			0
D402       103     3       10      僵尸3	1       *	0       NEWRW3			0
D402       103     3       10      僵尸30	1       *	0       NEWRW3			0
D403       103     3       10      僵尸2	1       *	0       NEWRW3			0
D403       103     3       10      僵尸20	1       *	0       NEWRW3			0
D403       103     3       10      僵尸3	1       *	0       NEWRW3			0
D403       103     3       10      僵尸30	1       *	0       NEWRW3			0
D403       103     3       10      僵尸5	1       *	0       NEWRW3			0
D403       103     3       10      僵尸50	1       *	0       NEWRW3			0
D404       103     3       10      僵尸1	1       *	0       NEWRW3			0
D404       103     3       10      僵尸10	1       *	0       NEWRW3			0
D404       103     3       10      僵尸3	1       *	0       NEWRW3			0
D404       103     3       10      僵尸30	1       *	0       NEWRW3			0
D404       103     3       10      僵尸4	1       *	0       NEWRW3			0
D404       103     3       10      僵尸40	1       *	0       NEWRW3			0
D405       103     3       10      僵尸1	1       *	0       NEWRW3			0
D405       103     3       10      僵尸10	1       *	0       NEWRW3			0
D405       103     3       10      僵尸4	1       *	0       NEWRW3			0
D405       103     3       10      僵尸40	1       *	0       NEWRW3			0
D405       103     3       10      僵尸5	1       *	0       NEWRW3			0
D405       103     3       10      僵尸50	1       *	0       NEWRW3			0
D406       103     3       10      僵尸1	1       *	0       NEWRW3			0
D406       103     3       10      僵尸10	1       *	0       NEWRW3			0
D406       103     3       10      僵尸4	1       *	0       NEWRW3			0
D406       103     3       10      僵尸40	1       *	0       NEWRW3			0
D406       103     3       10      僵尸5	1       *	0       NEWRW3			0
D406       103     3       10      僵尸50	1       *	0       NEWRW3			0
D406       103     3       10      僵尸2	1       *	0       NEWRW3			0
D406       103     3       10      僵尸20	1       *	0       NEWRW3			0
D411       103     3       10      僵尸2	1       *	0       NEWRW3			0
D411       103     3       10      僵尸20	1       *	0       NEWRW3			0
D412       103     3       10      僵尸4	1       *	0       NEWRW3			0
D412       103     3       10      僵尸40	1       *	0       NEWRW3			0
D413       103     3       10      僵尸3	1       *	0       NEWRW3			0
D413       103     3       10      僵尸30	1       *	0       NEWRW3			0
D415       103     3       10      僵尸5	1       *	0       NEWRW3			0
D415       103     3       10      僵尸50	1       *	0       NEWRW3			0
D416       103     3       10      僵尸5	1       *	0       NEWRW3			0
D416       103     3       10      僵尸50	1       *	0       NEWRW3			0
0       102     2       10	稻草人821	        1       *	0       NEWRW			0 
0       102     3       15	半兽人821	        1       *	0       NEWRW1			0 
D011       103     2       10      骷髅821	        1       *	0       NEWRW2			0
D012       103     2       10      骷髅821	        1       *	0       NEWRW2			0 
D401       103     3       10      僵尸3821	1       *	0       NEWRW3			0
  
;;成长任务23-26
D001	104	2	10	山洞蝙蝠	1	*	0	xinshou104_1		0
D002	104	2	10	山洞蝙蝠	1	*	0	xinshou104_1		0
D003	104	2	10	山洞蝙蝠	1	*	0	xinshou104_1		0
D011	104	2	10	山洞蝙蝠	1	*	0	xinshou104_1		0
D012	104	2	10	山洞蝙蝠	1	*	0	xinshou104_1		0
D003	104	2	10	山洞蝙蝠0	1	*	0	xinshou104_1		0
D011	104	2	10	山洞蝙蝠0	1	*	0	xinshou104_1		0
D012	104	2	10	山洞蝙蝠0	1	*	0	xinshou104_1		0
D021	104	2	10	山洞蝙蝠	1	*	0	xinshou104_1		0
D021	104	2	10	山洞蝙蝠0	1	*	0	xinshou104_1		0
D022	104	2	10	山洞蝙蝠	1	*	0	xinshou104_1		0
D022	104	2	10	山洞蝙蝠0	1	*	0	xinshou104_1		0
D023	104	2	10	山洞蝙蝠	1	*	0	xinshou104_1		0
D023	104	2	10	山洞蝙蝠0	1	*	0	xinshou104_1		0
D021	104	2	10	山洞蝙蝠821	1	*	0	xinshou104_1		0
D022	104	3	10	粪虫		1	*	0	xinshou104_2		0
D023	104	3	10	粪虫		1	*	0	xinshou104_2		0
D022	104	3	10	粪虫821		1	*	0	xinshou104_2		0
D023	104	3	10	粪虫821		1	*	0	xinshou104_2		0
D022	104	4	10	沃玛战士	1	*	0	xinshou104_3		0
D022	104	4	10	沃玛战士0	1	*	0	xinshou104_3		0
D023	104	4	10	沃玛战士	1	*	0	xinshou104_3		0
D023	104	4	10	沃玛战士0	1	*	0	xinshou104_3		0
D022	104	4	10	沃玛战士821	1	*	0	xinshou104_3		0
D023	104	4	10	沃玛战士821	1	*	0	xinshou104_3		0
D022	105	2	10	沃玛勇士	1	*	0	xinshou105_1		0
D022	105	2	10	沃玛勇士0	1	*	0	xinshou105_1		0
D023	105	2	10	沃玛勇士	1	*	0	xinshou105_1		0
D023	105	2	10	沃玛勇士0	1	*	0	xinshou105_1		0
D024	105	2	10	沃玛勇士081	1	*	0	xinshou105_1		0
