;RACE	:	Word	(16位0和1长度的整数)
;各个位置的注释
;1=普通npc	2=商人npc	7=雕像npc	8=升武器npc	
;
;ID	地图	X	Y	杂货店名称	正面	主要部分	沙巴克	自动执行时间
;天关
元宝回收    0116~2   13 21  元宝回收   0   8   0  0
牛魔祭坛    D2079   90 14  牛魔祭坛   0   75  0   0
鲜血祭坛    D2052   45 51  鲜血祭坛   0   75  0   0
埋骨之地    D2067   269 93  埋骨之地   0   75  0   0
地下皇陵    0   20 160  地下皇陵   0   75  0   0
半兽人营地    1   239 31  半兽人营地   0   75  0   0
沃玛之家    D053   51 49  沃玛之家   0   75  0   0
幽灵船    11   310 39  幽灵船   0   75  0   0
变异之地    D10051   118 152  变异之地   0   75  0   0
火龙广场    2   324 221  火龙广场   0   75  0   0
封印之地    4   454 78  封印之地   0   75  0   0
封魔禁地    D2013   33 32  封魔禁地   0   75  0   0
蚂蚁巢穴    3   726 238  蚂蚁巢穴   0   75  0   0
水上世界    5   125 540  水上世界   0   75  0   0
真天宫    D501   309 89  真天宫   0   75  0   0
雪域冰殿    6   258 25  雪域冰殿   0   75  0   0
剑指沙城         3 343 322 剑指沙城  0   39   0   0
;金牌尊者	3	317	322	会员使者	0	15	0	0
驯兽师	3	331	340	驯兽师	0	1	0	40
;镇魔守将	3	328	340	镇魔守将	0	15	0	0	0
;模拟攻沙	  3	343	321	模拟攻沙	0	31	0	0
;BOSS首曝	  3	317 325	BOSS首曝	0	1	0	0
炼体          3 340 326 炼体          0  14  0  0
火龙探险  HL002~1 140 156   火龙探险    0   72  0   0
火龙洞       3   320 322    火龙巢穴     0  71  0  0
雪域         3   320 320    雪域仙境        0  72  0  0
特戒合成    3 358 330       被遗落的人  0   22  0   0
开天合成   0159  10 13       神秘人      0   1   0   0
激情派对	  3 	355	335	激情派对	0	13	0	65
货币互换    3 332	320     货币商城  0   1   0   0	
天庭守卫	0122~1	27	28	天庭守卫	0	18	0	0	
;天关守卫	D5071~0	7	9	天关守卫	0	8	0	0	
魔王岭护卫	D5071~0	7	9	魔王岭护卫	0	31      0	0
垃圾清理	3	340	322	垃圾清理	0	31	0	0
神力附体	3	340	324	神力附体	0	12	0	0
新人接待员      0       287     613     新人接待员      0       18      0       0
新人接待员      0       650     623     新人接待员      0       18      0       0
大乱斗       0139~31    25      25      大乱斗          0       12      0      10
;大乱斗          3       337     340     大乱斗          0       12      0      10
服务员       0139~22    22     26       服务员         0       12      0      10
九层妖塔一层	0150~1	9	12	九层妖塔一层	0	8	0	0
九层妖塔二层	0150~2	9	12	九层妖塔二层	0	8	0	0
九层妖塔三层	0150~3	9	12	九层妖塔三层	0	8	0	0
九层妖塔四层	0150~4	9	12	九层妖塔四层	0	8	0        0
九层妖塔五层	0150~5	9	12	九层妖塔五层	0	8	0	0
九层妖塔六层	0150~6	9	12	九层妖塔六层	0	8	0	0
九层妖塔七层	0150~7	9	12	九层妖塔七层	0	8	0	0
九层妖塔八层	0150~8	9	12	九层妖塔八层	0	8	0	0
九层妖塔顶层	0150~9	9	12	九层妖塔顶层	0	8	0	0
沙巴克城主	3	679	326	沙巴克城主	5	50	0	0
;幻境挑战        3       330     336    幻境挑战     0       18      0       0
;十层守门人      H009       151     107   十层守门人     0       18      0       0
云游的鉴宝师	GA0	66	71	云游的鉴宝师	0	5	0	0
首饰升级	GA0	70	67	首饰合成师	0	0	0	0
苍月岛锻造师	GA0	72	65	熔炼武器师	0	0	0	0	
勋章升级	GA0	77	69	勋章升级	0	0	0	0
武器升级	GA0	59	62	幸运武器使者	0	0	0	0	
;热血竞技场  	3	322	320	热血竞技场	0	12	0	
;升级53号  	3	327	320	升级53号 	0	12	0	0
;武器升级攻魔道  3	332	320	武器升级攻魔道 	0	12	0	0
;雷炎探险  	3	322	320	洞穴	0	12	0	0			
比奇屠夫	0102	9	7	屠夫	0	11	0	0
比奇屠夫	0	313	271	屠夫	0	4	0	0
比奇武器店	0103	19	18	卫家店	0	1	0	0
比奇武器店1	0	340	308	武器店老板	0	1	0	0
比奇衣服店	0106	19	6	安家布衣	0	7	0	0
比奇衣服店	0	319	303	衣服店老板	0	7	0	0
比奇老兵	0	330	270	比奇老兵	0	1	0	0
比奇药店	0108	7	7	赖家店老板	0	1	0	0
比奇药店	0	324	291	夏家店老板	0	5	0	0
比奇药店	0109	4	8	沓水店老板	0	9	0	0
比奇书店	0104	5	8	陈家铺子老板	0	2	0	0
比奇书店	0	325	250	书店老板	0	2	0	0
比奇仓库	0125	8	6	麦家铺子	0	9	0	0
比奇仓库	0	301	257	仓库保管员	0	6	0	0
比奇武器店	0	302	219	铁匠铺老板	0	0	0	0
比奇杂货店	0	378	298	杂货铺老板	0	3	0	0
比奇戒指店	0105	18	6	戒指店老板	0	4	0	0
比奇手镯店	0105	12	12	手镯店老板	0	5	0	0
比奇项链店	0105	6	18	项链店老板	0	6	0	0
比奇首饰店	0	299	285	首饰店老板	0	6	0	0
比奇国王	0122	29	32	国王	0	8	0	0
;比奇彩票	0	298	317	彩票员	0	3	0	0
宣传员	0	326	261	网络文明宣传员	0	5	0	0
宣传员	SD000	10	10	网络文明宣传员	0	5	0	0
宣传员	SD001	10	10	网络文明宣传员	0	5	0	0
宣传员	SD002	10	10	网络文明宣传员	0	5	0	0
银杏药店	0119	10	11	许家店(药店)	0	1	0	0
银杏药店	0	648	616	许家店(药店)	0	1	0	0
银杏药店1	0119	14	14	药房小老板	0	9	0	0
银杏杂货店	0	643	611	陈家铺(杂货店)	0	3	0	0
银杏武器店	0	649	602	精武馆(武器店)	0	0	0	0
银杏衣服店	0	643	601	高家店(服装店)	0	7	0	0
银杏屠夫	0	649	591	屠夫	0	11	0	0
银杏仓库	0	621	642	穆家店(仓库)	0	6	0	0
银杏助理	0	628	601	助理小敏	0	5	0	0
边界药店	0	291	610	边界村药店老板	0	1	0	0
边界武器店	0	297	612	铁匠铺(武器店)	0	0	0	0
边界屠夫	0	293	603	屠夫	0	11	0	0
边界衣服店	0	305	607	白家服装店老板	0	7	0	0
边界书店	0132	5	18	朴家书店老板	0	2	0	0
边界仓库	0140	8	9	仓库保管员	0	9	0	0
边界戒指店	0141	23	23	戒指店老板	0	4	0	0
边界手镯店	0141	16	16	手镯店老板	0	5	0	0
边界项链店	0141	10	10	项链店老板	0	6	0	0
边界助理	0	284	606	助手阿姸	0	5	0	0
;比奇新手引导员	0	333	270	比奇新手引导员	0	18	0	0
山谷老兵	2	500	480	山谷老兵	0	1	0	0
;高级武士	0114	14	9	高级武士	0	3	0	0
;高级武士	01141	14	9	高级武士	0	3	0	0
;高级武士	01142	11	10	高级武士	0	3	0	0
;高级道士	0113	7	5	高级道士	0	3	0	0
;高级道士	01132	11	10	高级道士	0	3	0	0
;高级魔法师	0115	5	11	高级魔法师	0	3	0	0
