;技能名	ID	effectType	effect	熟练度	装备加成	内功等级加成	暴击率	暴击倍数	暴击伤害	消耗内力	熟练度	装备加成	内功等级加成	暴击率	暴击倍数	暴击伤害	消耗内力	熟练度	装备加成	内功等级加成	暴击率	暴击伤害	暴击伤害	消耗内力	熟练度	装备加成	内功等级加成	暴击率	暴击倍数	暴击伤害	消耗内力	熟练度	装备加成	内功等级加成	暴击率	暴击倍数	暴击伤害	消耗内力	熟练度	装备加成	内功等级加成	暴击率	暴击倍数	暴击伤害	消耗内力
三绝杀	3070	0	0	500	1.1	0.7	0	1.5	0	20	1000	1.2	0.8	5	1.5	0	30	1500	1.3	0.9	10	1.5	0	40	2000	1.4	1.1	20	1.5	0	50	2500	1.6	1.3	30	1.5	0	60	-1	1.7	1.5	50	1.5	0	80
追心刺	3071	0	0	500	1.3	0.7	0	1.5	0	20	1000	1.4	0.8	5	1.5	0	30	1500	1.5	0.9	10	1.5	0	40	2000	1.6	1.1	20	1.5	0	50	2500	1.7	1.3	30	1.5	0	60	-1	1.8	1.5	50	1.5	0	80
断岳斩	3072	0	0	500	1.1	0.7	0	1.5	0	20	1000	1.2	0.8	5	1.5	0	30	1500	1.3	0.9	10	1.5	0	40	2000	1.4	1.1	20	1.5	0	50	2500	1.6	1.3	30	1.5	0	60	-1	1.9	1.5	50	1.5	0	80
横扫千军	3073	0	0	500	1.1	0.7	0	1.5	0	20	1000	1.2	0.8	5	1.5	0	30	1500	1.3	0.9	10	1.5	0	40	2000	1.4	1.1	20	1.5	0	50	2500	1.6	1.3	30	1.5	0	60	-1	1.8	1.5	50	1.5	0	80
																																													
双龙破	3080	1	112	500	1.3	0.7	0	1.5	0	20	1000	1.5	0.8	5	1.5	0	30	1500	1.7	0.9	10	1.5	0	40	2000	1.9	1.1	20	1.5	0	50	2500	2.1	1.3	30	1.5	0	60	-1	2.3	1.5	50	1.5	0	80
凤舞祭	3081	1	113	500	1.4	0.7	0	1.5	0	40	1000	1.6	0.8	5	1.5	0	50	1500	1.8	0.9	10	1.5	0	60	2000	2	1.1	20	1.5	0	70	2500	2.2	1.3	30	1.5	0	80	-1	2.4	1.5	50	1.5	0	90
惊雷爆	3082	1	114	500	1.6	0.7	0	1.5	0	40	1000	1.8	0.8	5	1.5	0	50	1500	2	0.9	10	1.5	0	60	2000	2.2	1.1	20	1.5	0	70	2500	2.4	1.3	30	1.5	0	90	-1	2.6	1.5	50	1.5	0	100
冰天雪地	3083	2	115	500	1.4	0.7	0	1.5	0	20	1000	1.5	0.8	5	1.5	0	30	1500	1.6	0.9	10	1.5	0	40	2000	1.7	1.1	20	1.5	0	50	2500	1.8	1.3	30	1.5	0	60	-1	2.1	1.5	50	1.5	0	80
																																													
虎啸诀	3090	1	212	500	1.4	0.7	0	1.5	0	20	1000	1.5	0.8	5	1.5	0	30	1500	1.6	0.9	10	1.5	0	40	2000	1.7	1.1	20	1.5	0	50	2500	1.8	1.3	30	1.5	0	60	-1	2	1.5	50	1.5	0	80
八卦掌	3091	1	213	500	1.4	0.7	0	1.5	0	40	1000	1.5	0.8	5	1.5	0	50	1500	1.6	0.9	10	1.5	0	40	2000	1.7	1.1	20	1.5	0	70	2500	1.8	1.3	30	1.5	0	80	-1	2.1	1.5	50	1.5	0	90
三焰咒	3092	1	214	500	1.4	0.7	0	1.5	0	40	1000	1.5	0.8	5	1.5	0	50	1500	1.6	0.9	10	1.5	0	60	2000	1.7	1.1	20	1.5	0	70	2500	1.9	1.3	30	1.5	0	90	-1	2.2	1.5	50	1.5	0	100
万剑归宗	3093	1	215	500	1.4	0.7	0	1.5	0	20	1000	1.5	0.8	5	1.5	0	30	1500	1.6	0.9	10	1.5	0	40	2000	1.7	1.1	20	1.5	0	50	2500	1.8	1.3	30	1.5	0	60	-1	2	1.5	50	1.5	0	80
