;事件类型1=落雷；2=岩浆；3= 落雷机关； 4=岩浆机关													
;===================================================													
;事件类型	事件组号	地图	X	Y	出现范围    攻击范围	停顿时间(S)	中心点伤害    显示特效						

1	1		HL001	117	281	3		2	3		10		109
1	1		HL001	112	285	3		2	3		10		109
1	1		HL001	108	289	3		2	3		10		109
1	1		HL001	107	290	3		2	3		10		111
1	1		HL001	105	292	3		2	3		10		110
1	1		HL001	103	294	3		2	3		10		109
1	1		HL001	76	322	3		2	3		10		109
1	1		HL001	70	326	3		2	3		10		109
1	1		HL001	62	334	3		2	3		10		109
1	1		HL001	58	340	3		2	3		10		109
1	1		HL001	81	374	3		2	3		10		109
1	1		HL001	95	368	3		2	3		10		109
1	1		HL001	101	362	3		2	3		10		110
1	1		HL001	135	322	3		2	3		10		109
1	1		HL001	137	324	3		2	3		10		110
1	1		HL001	150	371	3		2	3		10		109
1	1		HL001	116	281	3		2	3		10		110
1	1		HL001	114	284	3		2	3		10		111
1	1		HL001	108	290	3		2	3		10		110
1	1		HL001	105	293	3		2	3		10		110
1	1		HL001	93	304	3		2	3		10		111
1	1		HL001	79	321	3		2	3		10		109
1	1		HL001	64	335	3		2	3		10		110
1	1		HL001	61	338	3		2	3		10		111
1	1		HL001	58	341	3		2	3		10		109
1	1		HL001	55	348	3		2	3		10		110
1	1		HL001	57	341	3		2	3		10		110
1	1		HL001	55	347	3		2	3		10		111
1	1		HL001	74	373	3		2	3		10		109
1	1		HL001	87	373	3		2	3		10		110
1	1		HL001	102	361	3		2	3		10		111
1	1		HL001	99	343	3		2	3		10		109
1	1		HL001	66	364	3		2	3		10		110
1	1		HL001	75	373	3		2	3		10		111
1	1		HL001	102	362	3		2	3		10		111
1	1		HL001	99	300	3		2	3		10		111
1	1		HL001	88	311	3		2	3		10		109
1	1		HL001	60	340	3		2	3		10		111
1	1		HL001	58	346	3		2	3		10		109
1	1		HL001	50	348	3		2	3		10		110
1	1		HL001	46	354	3		2	3		10		109
1	1		HL001	54	360	3		2	3		10		110
1	1		HL001	68	368	3		2	3		10		110
1	2		HL001	261	212	3		2	3		10		109
1	2		HL001	263	220	3		2	3		10		110
1	2		HL001	271	224	3		2	3		10		111
1	2		HL001	265	230	3		2	3		10		110
1	2		HL001	275	238	3		2	3		10		111
1	2		HL001	283	239	3		2	3		10		109
1	2		HL001	254	239	3		2	3		10		110
1	2		HL001	258	235	3		2	3		10		109
1	2		HL001	266	221	3		2	3		10		109
1	2		HL001	268	219	3		2	3		10		109
1	2		HL001	258	216	3		2	3		10		109
1	2		HL001	266	219	3		2	3		10		109
1	2		HL001	264	225	3		2	3		10		110
1	2		HL001	260	217	3		2	3		10		110
1	2		HL001	262	217	3		2	3		10		111
1	2		HL001	266	231	3		2	3		10		111
1	2		HL001	274	242	3		2	3		10		111
1	2		HL001	267	231	3		2	3		10		111
1	2		HL001	259	235	3		2	3		10		110
1	3		HL001	279	193	3		2	3		10		109
1	3		HL001	283	199	3		2	3		10		110
1	3		HL001	287	206	3		2	3		10		111
1	3		HL001	299	212	3		2	3		10		109
1	3		HL001	298	216	3		2	3		10		110
1	3		HL001	275	196	3		2	3		10		111
1	3		HL001	282	200	3		2	3		10		110
1	3		HL001	291	209	3		2	3		10		109
1	3		HL001	282	202	3		2	3		10		110
1	4		HL001	306	209	3		2	3		10		109
1	4		HL001	306	210	3		2	3		10		110
1	4		HL001	306	211	3		2	3		10		111
1	4		HL001	306	214	3		2	3		10		111
1	4		HL001	255	235	3		2	3		10		111
1	4		HL001	256	236	3		2	3		10		109
1	4		HL001	257	237	3		2	3		10		110


;一层大地表事件													
1	5		HL001	29	45	4		1	3		10		109
1	5		HL001	24	114	4		1	3		10		110
1	5		HL001	15	119	4		1	3		10		109
1	5		HL001	22	140	4		1	3		10		110
1	5		HL001	31	150	4		1	3		10		110
1	5		HL001	60	252	4		1	3		10		111
1	5		HL001	53	181	4		1	3		10		110
1	5		HL001	71	268	4		1	3		10		109
1	5		HL001	35	288	4		1	3		10		111
1	5		HL001	105	109	4		1	3		10		109
1	5		HL001	82	33	4		1	3		10		111
1	5		HL001	143	68	4		1	3		10		110
1	5		HL001	161	108	4		1	3		10		111
1	5		HL001	151	150	4		1	3		10		109
1	5		HL001	90	182	4		1	3		10		109
1	5		HL001	47	201	4		1	3		10		111
1	5		HL001	69	233	4		1	3		10		110
1	5		HL001	173	132	4		1	3		10		109
1	5		HL001	117	166	4		1	3		10		111
1	5		HL001	90	185	4		1	3		10		111
1	5		HL001	108	245	4		1	3		10		110
1	5		HL001	119	261	4		1	3		10		109
1	5		HL001	142	346	4		1	3		10		109
1	5		HL001	165	363	4		1	3		10		110
1	5		HL001	173	255	4		1	3		10		109
1	5		HL001	169	237	4		1	3		10		110
1	5		HL001	189	211	4		1	3		10		111
1	5		HL001	223	342	4		1	3		10		109
1	5		HL001	251	386	4		1	3		10		110
1	5		HL001	257	378	4		1	3		10		109
1	5		HL001	277	332	4		1	3		10		110
1	5		HL001	340	337	4		1	3		10		111
1	5		HL001	308	362	4		1	3		10		109
1	5		HL001	294	361	4		1	3		10		110
1	5		HL001	257	379	4		1	3		10		109
1	5		HL001	288	325	4		1	3		10		111
1	5		HL001	276	304	4		1	3		10		109
1	5		HL001	298	274	4		1	3		10		110
1	5		HL001	346	380	4		1	3		10		109
1	5		HL001	370	360	4		1	3		10		110
1	5		HL001	383	346	4		1	3		10		111
1	5		HL001	366	249	4		1	3		10		111
