1	221.192.179.245	pt94b9613a35dc0196a9	ÀÏºýÍ¿	4268	2019-07-22 13:39:07	2019-07-22 14:50:16	1	0
1	1.60.178.157	pt42c163d94cc01390e9	·ð×æ	2379	2019-07-22 14:13:01	2019-07-22 14:52:40	1	0
1	119.181.123.41	pt967056f2da02edab37	´óÊåºÜË§	2201	2019-07-22 14:19:11	2019-07-22 14:55:52	1	0
1	223.88.11.255	pt963e8992de37c43e21	ÄÇÆ¬·ãÒ¶	0	2019-07-22 14:50:34	2019-07-22 14:50:34	1	0
1	112.101.0.176	ptba352aee5b525d4773	Êø°²¸£	6	2019-07-22 14:50:34	2019-07-22 14:50:40	1	0
1	117.155.71.180	ptef004e3a5374e5ba68	±ª×ÓÍ·Áã³ä	12	2019-07-22 14:50:34	2019-07-22 14:50:46	1	0
1	1.60.178.157	pt42c163d94cc01390e9	·ð×æ	82	2019-07-22 14:52:14	2019-07-22 14:53:36	1	0
1	112.101.0.176	ptba352aee5b525d4773	Êø°²¸£	164	2019-07-22 14:53:34	2019-07-22 14:56:19	1	0
1	1.60.178.157	pt42c163d94cc01390e9	·ð×æ	202	2019-07-22 14:53:43	2019-07-22 14:57:06	1	0
1	112.101.0.176	ptba352aee5b525d4773	Êø°²¸£	134	2019-07-22 14:56:26	2019-07-22 14:58:40	1	0
1	112.101.0.176	ptba352aee5b525d4773	Êø°²¸£	56	2019-07-22 14:58:48	2019-07-22 14:59:45	1	0
1	117.155.71.180	ptef004e3a5374e5ba68	±ª×ÓÍ·Áã³ä	489	2019-07-22 14:51:42	2019-07-22 14:59:51	1	0
