1	121.24.252.215	pte8d86058c8bf7f8382	ÓÐÈÝÄÌ´ó	816	2019-08-28 20:56:58	2019-08-28 21:10:35	1	0
1	58.243.10.128	pt9d42b1714d8d66b218	·¨±¦±¦	478	2019-08-28 21:03:26	2019-08-28 21:11:24	1	0
1	111.32.156.87	pt22923fe80c409f96bb	Õ¶»ê	226	2019-08-28 21:10:11	2019-08-28 21:13:58	1	0
1	175.23.38.206	pt9544770382b7f4b165	ÐÛ°Ô	149	2019-08-28 21:11:28	2019-08-28 21:13:58	1	0
1	58.243.10.128	pt9d42b1714d8d66b218	·½±ã	68	2019-08-28 21:12:49	2019-08-28 21:13:58	1	0
1	113.96.86.49	pt419ca19481883d564d	¸£êË	13983	2019-08-28 17:20:54	2019-08-28 21:13:58	1	0
1	117.136.38.166	pt3c1451ac1854959b84	²ý³ÉÒñ	8214	2019-08-28 18:57:03	2019-08-28 21:13:58	1	0
1	117.136.38.166	pt26ce8ea33fe92932ef	Î¤ÓñÔó	8134	2019-08-28 18:58:23	2019-08-28 21:13:58	1	0
1	117.136.38.166	pt0cf0929a9d43e157dc	¹úÉÜì÷	8016	2019-08-28 19:00:21	2019-08-28 21:13:58	1	0
1	117.136.38.166	pt1d831a4be6aad77eaa	Ó¡ÓñÁú	4606	2019-08-28 19:57:11	2019-08-28 21:13:58	1	0
1	117.136.38.166	pt70d1fa5fcb5111fe5a	°ÙÀïÈç·ç	4596	2019-08-28 19:57:22	2019-08-28 21:13:58	1	0
1	117.136.38.166	pt3716910749752b84a5	ÓÝ¼ÎÄê	4578	2019-08-28 19:57:39	2019-08-28 21:13:58	1	0
1	117.136.38.166	pt4c9d289634b5875303	ºØÀ¼ÒÀÉº	4575	2019-08-28 19:57:42	2019-08-28 21:13:58	1	0
1	117.136.38.166	ptd3934acf860ec9a576	ÑøÜ°ÈÙ	4574	2019-08-28 19:57:43	2019-08-28 21:13:58	1	0
1	117.136.38.166	ptf9a1496f0f0de9fd7c	ÐûÇåêÆ	4573	2019-08-28 19:57:44	2019-08-28 21:13:58	1	0
1	59.63.203.85	pt7897699b3d23453dc3	¹þÀû¸Á	3660	2019-08-28 20:12:57	2019-08-28 21:13:58	1	0
1	42.249.48.228	pt3faa4cafc334ac8484	ÉÕ¿¾	2910	2019-08-28 20:25:27	2019-08-28 21:13:58	1	0
1	112.96.112.253	pt87078602b74d52e6c7	´«Ææ	2039	2019-08-28 20:39:58	2019-08-28 21:13:58	1	0
1	42.249.48.228	pt959ed1dfe5ef826f34	¿¾ÉÕ	2038	2019-08-28 20:39:59	2019-08-28 21:13:58	1	0
1	183.222.109.24	pt0e5fa6b69da80597f2	µ­Ä°ÇàÉÀ	905	2019-08-28 20:58:52	2019-08-28 21:13:58	1	0
1	121.10.56.217	ptd83cc3ef05dd0084c7	ÈÈÑª´«Ëµ	540	2019-08-28 21:04:57	2019-08-28 21:13:58	1	0
1	58.243.10.128	pt9d42b1714d8d66b218	·½±ã	14	2019-08-28 21:14:47	2019-08-28 21:15:01	1	0
1	183.222.109.24	pt0e5fa6b69da80597f2	µ­Ä°ÇàÉÀ	61	2019-08-28 21:15:24	2019-08-28 21:16:26	1	0
1	58.243.10.128	pt9d42b1714d8d66b218	·½±ã	92	2019-08-28 21:15:23	2019-08-28 21:16:56	1	0
1	42.249.48.228	pt959ed1dfe5ef826f34	¿¾ÉÕ	30	2019-08-28 21:16:38	2019-08-28 21:17:08	1	0
1	121.10.56.217	ptd83cc3ef05dd0084c7	ÈÈÑª´«Ëµ	133	2019-08-28 21:14:54	2019-08-28 21:17:08	1	0
1	112.96.112.253	pt87078602b74d52e6c7	´«Ææ	148	2019-08-28 21:14:47	2019-08-28 21:17:16	1	0
1	121.10.56.217	ptd83cc3ef05dd0084c7	ÈÈÑª´«Ëµ	138	2019-08-28 21:17:15	2019-08-28 21:19:33	1	0
1	42.249.48.228	pt3faa4cafc334ac8484	ÉÕ¿¾	221	2019-08-28 21:16:00	2019-08-28 21:19:41	1	0
1	183.222.109.24	pt0e5fa6b69da80597f2	ÎâÐ°	155	2019-08-28 21:17:05	2019-08-28 21:19:41	1	0
1	42.249.48.228	pt959ed1dfe5ef826f34	¿¾ÉÕ	141	2019-08-28 21:17:19	2019-08-28 21:19:41	1	0
1	112.96.112.253	pt87078602b74d52e6c7	´«Ææ	102	2019-08-28 21:17:58	2019-08-28 21:19:41	1	0
1	58.243.10.128	pt9d42b1714d8d66b218	·½±ãÃæ	91	2019-08-28 21:18:09	2019-08-28 21:19:41	1	0
1	175.23.38.206	pt9544770382b7f4b165	ÐÛ°Ô	20	2019-08-28 21:19:20	2019-08-28 21:19:41	1	0
1	59.63.203.85	pt7897699b3d23453dc3	¹þÀû¸Á	290	2019-08-28 21:14:51	2019-08-28 21:19:41	1	0
1	111.32.156.87	pt22923fe80c409f96bb	Õ¶»ê	262	2019-08-28 21:15:18	2019-08-28 21:19:41	1	0
1	117.136.38.166	pt3c1451ac1854959b84	²ý³ÉÒñ	259	2019-08-28 21:15:21	2019-08-28 21:19:41	1	0
1	117.136.38.166	pt26ce8ea33fe92932ef	Î¤ÓñÔó	258	2019-08-28 21:15:22	2019-08-28 21:19:41	1	0
1	117.136.38.166	pt1d831a4be6aad77eaa	Ó¡ÓñÁú	250	2019-08-28 21:15:30	2019-08-28 21:19:41	1	0
